Common_name,median_temperature,percentile_75th,Exclude,Reason
Small Dotted Buff,9.220740259,9.625185348,1,75th centile temperature > 9.52
Narrow-winged Pug,9.049451511,9.627360079,1,75th centile temperature > 9.52
Common Heath,8.831685262,9.628315395,1,75th centile temperature > 9.52
Narrow-bordered Bee Hawk-moth,8.699597393,9.628590231,1,75th centile temperature > 9.52
Red-green Carpet,8.93004277,9.629000282,1,75th centile temperature > 9.52
V-moth,9.296154811,9.630270448,1,75th centile temperature > 9.52
Dusky-lemon Sallow,9.287534762,9.631027607,1,75th centile temperature > 9.52
Clouded-bordered Brindle,9.246214,9.632341326,1,75th centile temperature > 9.52
Emperor Moth,8.892118823,9.63239015,1,75th centile temperature > 9.52
Autumnal Rustic,9.066227387,9.640978532,1,75th centile temperature > 9.52
Silver-ground Carpet,9.154650929,9.641472435,1,75th centile temperature > 9.52
Barred Red,9.159061484,9.643362153,1,75th centile temperature > 9.52
Beautiful Golden Y,9.237963244,9.643362153,1,75th centile temperature > 9.52
Small Wainscot,9.230905501,9.644074338,1,75th centile temperature > 9.52
Pale-shouldered Brocade,9.298339698,9.645259225,1,75th centile temperature > 9.52
Gold Swift,9.299886701,9.646464738,1,75th centile temperature > 9.52
Angle-barred Pug,9.317945693,9.647805754,1,75th centile temperature > 9.52
Argent & Sable,9.148853302,9.648119415,1,75th centile temperature > 9.52
Bordered White,9.291376351,9.650937759,1,75th centile temperature > 9.52
Fen Square-spot,8.552069942,9.65277479,1,75th centile temperature > 9.52
Brighton Wainscot,9.536891951,9.655144355,1,75th centile temperature > 9.52
Scarce Blackneck,9.547939562,9.657455677,1,75th centile temperature > 9.52
Green Arches,9.261058068,9.657841758,1,75th centile temperature > 9.52
Flame Carpet,9.169049952,9.658170435,1,75th centile temperature > 9.52
True Lover's Knot,8.972938104,9.658613921,1,75th centile temperature > 9.52
Yellow Horned,9.29332343,9.659000003,1,75th centile temperature > 9.52
Purple Clay,9.278893864,9.659085087,1,75th centile temperature > 9.52
Larch Pug,9.343809198,9.659113449,1,75th centile temperature > 9.52
Brown-spot Pinion,9.360650899,9.661432191,1,75th centile temperature > 9.52
Pale November Moth,9.337980743,9.663576675,1,75th centile temperature > 9.52
Narrow-bordered Five-spot Burnet,9.360489172,9.665544517,1,75th centile temperature > 9.52
Valerian Pug,9.269438614,9.66700523,1,75th centile temperature > 9.52
Mottled Umber,9.330376574,9.671748709,1,75th centile temperature > 9.52
Latticed Heath,9.375928086,9.672096609,1,75th centile temperature > 9.52
Red Chestnut,9.352449525,9.672225194,1,75th centile temperature > 9.52
Brown Rustic,9.313752492,9.672334852,1,75th centile temperature > 9.52
Triple-spotted Clay,9.379609036,9.672815094,1,75th centile temperature > 9.52
Lesser Swallow Prominent,9.330376574,9.673938198,1,75th centile temperature > 9.52
Streak,9.31934583,9.674103294,1,75th centile temperature > 9.52
Grass Rivulet,9.222601646,9.675958167,1,75th centile temperature > 9.52
Orange Sallow,9.372444938,9.67601425,1,75th centile temperature > 9.52
Scarce Vapourer,9.603821558,9.67601425,1,75th centile temperature > 9.52
Green Carpet,9.204370479,9.676855276,1,75th centile temperature > 9.52
December Moth,9.372444938,9.677358243,1,75th centile temperature > 9.52
Barred Straw,9.29906131,9.677382757,1,75th centile temperature > 9.52
Pale Eggar,9.359130412,9.677390929,1,75th centile temperature > 9.52
Six-striped Rustic,9.324873366,9.679278989,1,75th centile temperature > 9.52
Broom Moth,9.292969213,9.681023569,1,75th centile temperature > 9.52
Pale Brindled Beauty,9.347506854,9.681982596,1,75th centile temperature > 9.52
Dotted Rustic,9.435712212,9.682798143,1,75th centile temperature > 9.52
Suspected,9.419641498,9.68361369,1,75th centile temperature > 9.52
Triple-spotted Pug,9.361647429,9.684429237,1,75th centile temperature > 9.52
Scarce Pug,9.57909823,9.686796442,1,75th centile temperature > 9.52
Lyme Grass,9.255336918,9.687973283,1,75th centile temperature > 9.52
Middle-barred Minor,9.317123935,9.688622238,1,75th centile temperature > 9.52
Rush Wainscot,9.66439452,9.690394525,1,75th centile temperature > 9.52
Small Dotted Footman,9.689030798,9.691331578,1,75th centile temperature > 9.52
Ingrailed Clay,9.29332343,9.69186514,1,75th centile temperature > 9.52
Sallow,9.359886173,9.693190553,1,75th centile temperature > 9.52
Minor Shoulder-knot,9.337106131,9.693632358,1,75th centile temperature > 9.52
Marsh Carpet,9.629422192,9.693632358,1,75th centile temperature > 9.52
White-marked,9.45289614,9.694580721,1,75th centile temperature > 9.52
Rustic Shoulder-knot,9.387818746,9.696111049,1,75th centile temperature > 9.52
Concolorous,9.586863802,9.69653727,1,75th centile temperature > 9.52
Satellite,9.409148678,9.698231003,1,75th centile temperature > 9.52
Coxcomb Prominent,9.373636424,9.698782374,1,75th centile temperature > 9.52
Light Emerald,9.326750511,9.698821194,1,75th centile temperature > 9.52
Large Emerald,9.359351397,9.698821194,1,75th centile temperature > 9.52
July Highflyer,9.303565287,9.698937654,1,75th centile temperature > 9.52
Orange Upperwing,9.589920546,9.700617371,1,75th centile temperature > 9.52
Dew Footman,8.631583772,9.701380096,1,75th centile temperature > 9.52
Small Rivulet,9.359130412,9.70195812,1,75th centile temperature > 9.52
Barred Yellow,9.372444938,9.702727465,1,75th centile temperature > 9.52
Dusky Brocade,9.360199966,9.703166183,1,75th centile temperature > 9.52
Orange Underwing,9.380924033,9.703935529,1,75th centile temperature > 9.52
Pine Carpet,9.167005141,9.70453956,1,75th centile temperature > 9.52
Pink-barred Sallow,9.339349832,9.70453956,1,75th centile temperature > 9.52
Beautiful Yellow Underwing,8.702685337,9.705143592,1,75th centile temperature > 9.52
Ochreous Pug,9.359130412,9.705143592,1,75th centile temperature > 9.52
Sprawler,9.443022394,9.705143592,1,75th centile temperature > 9.52
Figure of Eight,9.444433004,9.705143592,1,75th centile temperature > 9.52
Stout Dart,9.48911684,9.706128826,1,75th centile temperature > 9.52
Common White Wave,9.344764551,9.706621443,1,75th centile temperature > 9.52
Small Clouded Brindle,9.457893133,9.707564311,1,75th centile temperature > 9.52
Plain Golden Y,9.394539032,9.708093904,1,75th centile temperature > 9.52
Grey Pug,9.361647429,9.708173244,1,75th centile temperature > 9.52
