Common_name,median_temperature,percentile_75th,Exclude,Reason
Bordered Beauty,9.50675203,9.80971551,1,75th centile temperature > 9.52
Yellow-tail,9.513681848,9.80971551,1,75th centile temperature > 9.52
Marbled Minor,9.525339138,9.80971551,1,75th centile temperature > 9.52
Mother Shipton,9.467783535,9.810289203,1,75th centile temperature > 9.52
Scorched Wing,9.523677471,9.810750082,1,75th centile temperature > 9.52
Common Wainscot,9.482074871,9.810806488,1,75th centile temperature > 9.52
Figure of Eighty,9.550856921,9.811132543,1,75th centile temperature > 9.52
Varied Coronet,9.616295666,9.812088251,1,75th centile temperature > 9.52
Yellow-legged Clearwing,9.625643537,9.812310201,1,75th centile temperature > 9.52
Marbled Brown,9.550856921,9.812391848,1,75th centile temperature > 9.52
Shark,9.450715107,9.812422359,1,75th centile temperature > 9.52
Pale Tussock,9.55039763,9.813060066,1,75th centile temperature > 9.52
Purple Thorn,9.535845502,9.813314798,1,75th centile temperature > 9.52
Ruby Tiger,9.494128922,9.813697772,1,75th centile temperature > 9.52
Flame,9.50577642,9.815227917,1,75th centile temperature > 9.52
Toadflax Pug,9.513627952,9.816526886,1,75th centile temperature > 9.52
Miller,9.494564688,9.81849605,1,75th centile temperature > 9.52
Blossom Underwing,9.601352224,9.819832335,1,75th centile temperature > 9.52
Straw Dot,9.514091943,9.820268505,1,75th centile temperature > 9.52
Four-dotted Footman,9.583773062,9.820268505,1,75th centile temperature > 9.52
Broad-bordered Yellow Underwing,9.511254713,9.820335357,1,75th centile temperature > 9.52
Orange Swift,9.473511776,9.82040221,1,75th centile temperature > 9.52
Willow Beauty,9.48609398,9.820469063,1,75th centile temperature > 9.52
Pale Prominent,9.504800809,9.820535916,1,75th centile temperature > 9.52
Setaceous Hebrew Character,9.48872965,9.821079738,1,75th centile temperature > 9.52
Dark Chestnut,9.488923245,9.821203089,1,75th centile temperature > 9.52
Oak Lutestring,9.587582065,9.821736557,1,75th centile temperature > 9.52
Rosy Minor,9.439749642,9.821870263,1,75th centile temperature > 9.52
Death's-head Hawk-moth,9.494939037,9.821938112,1,75th centile temperature > 9.52
Early Grey,9.504794828,9.822537436,1,75th centile temperature > 9.52
Grass Emerald,9.480340108,9.825880389,1,75th centile temperature > 9.52
Spruce Carpet,9.497050288,9.827010237,1,75th centile temperature > 9.52
Uncertain,9.515234254,9.827386853,1,75th centile temperature > 9.52
Small Yellow Wave,9.552518982,9.827386853,1,75th centile temperature > 9.52
Single-dotted Wave,9.514091943,9.827737196,1,75th centile temperature > 9.52
Vapourer,9.498470258,9.82808754,1,75th centile temperature > 9.52
Heart Moth,9.745499578,9.829133246,1,75th centile temperature > 9.52
Lychnis,9.491655718,9.829595356,1,75th centile temperature > 9.52
Marsh Oblique-barred,9.52981908,9.829642881,1,75th centile temperature > 9.52
Frosted Green,9.61335616,9.8308817,1,75th centile temperature > 9.52
Netted Pug,9.523142541,9.831390257,1,75th centile temperature > 9.52
Cinnabar,9.508815344,9.832265093,1,75th centile temperature > 9.52
Cabbage Moth,9.487157842,9.834118806,1,75th centile temperature > 9.52
Poplar Grey,9.5473904,9.838768582,1,75th centile temperature > 9.52
Fan-foot,9.530925751,9.841366243,1,75th centile temperature > 9.52
Grass Wave,9.582815679,9.84153825,1,75th centile temperature > 9.52
Bleached Pug,9.64478943,9.841896673,1,75th centile temperature > 9.52
White-barred Clearwing,9.684429237,9.842519355,1,75th centile temperature > 9.52
Tawny Pinion,9.603959515,9.842519423,1,75th centile temperature > 9.52
Small Dusty Wave,9.523677471,9.845161969,1,75th centile temperature > 9.52
Pale Mottled Willow,9.489672367,9.846661396,1,75th centile temperature > 9.52
Lesser Treble-bar,9.498728928,9.848957695,1,75th centile temperature > 9.52
Bird's Wing,9.619629375,9.848957695,1,75th centile temperature > 9.52
Oak Hook-tip,9.557878569,9.849312826,1,75th centile temperature > 9.52
Knot Grass,9.466222439,9.849427117,1,75th centile temperature > 9.52
Bulrush Wainscot,9.53227043,9.849490392,1,75th centile temperature > 9.52
Small Scallop,9.615122383,9.849667957,1,75th centile temperature > 9.52
V-pug,9.524882558,9.85025167,1,75th centile temperature > 9.52
Maple Pug,9.578261521,9.850365961,1,75th centile temperature > 9.52
Blotched Emerald,9.627467746,9.850365961,1,75th centile temperature > 9.52
Flame Wainscot,9.67601425,9.850835384,1,75th centile temperature > 9.52
Scarce Brindle,9.645161154,9.852288981,1,75th centile temperature > 9.52
Marbled Coronet,9.438498787,9.855066295,1,75th centile temperature > 9.52
Balsam Carpet,9.59984586,9.858393765,1,75th centile temperature > 9.52
Scarce Black Arches,9.230905501,9.861127885,1,75th centile temperature > 9.52
Satin Lutestring,9.701765468,9.868728591,1,75th centile temperature > 9.52
Cistus Forester,9.42396089,9.870549532,1,75th centile temperature > 9.52
Muslin Moth,9.547939562,9.873451953,1,75th centile temperature > 9.52
Marbled Beauty,9.489672367,9.873919764,1,75th centile temperature > 9.52
Common Footman,9.538038105,9.873919764,1,75th centile temperature > 9.52
Oak Eggar,9.317123935,9.874855387,1,75th centile temperature > 9.52
Buff Arches,9.5473904,9.874855387,1,75th centile temperature > 9.52
Hedge Rustic,9.496213078,9.875323199,1,75th centile temperature > 9.52
Straw Underwing,9.554722335,9.875323199,1,75th centile temperature > 9.52
Festoon,9.749342723,9.875323199,1,75th centile temperature > 9.52
Dark Spinach,9.55255132,9.878790012,1,75th centile temperature > 9.52
Waved Umber,9.553653543,9.87913103,1,75th centile temperature > 9.52
Lunar Underwing,9.511703877,9.880002169,1,75th centile temperature > 9.52
Red Underwing,9.572387114,9.880030446,1,75th centile temperature > 9.52
Beaded Chestnut,9.535323624,9.880058722,1,75th centile temperature > 9.52
Dot Moth,9.547939562,9.880058722,1,75th centile temperature > 9.52
White-pinion Spotted,9.587582065,9.880058722,1,75th centile temperature > 9.52
Rustic,9.525233407,9.880106006,1,75th centile temperature > 9.52
Red Twin-spot Carpet,9.516649593,9.880121767,1,75th centile temperature > 9.52
Dusky Thorn,9.549398241,9.880866095,1,75th centile temperature > 9.52
Deep-brown Dart,9.616494168,9.881522348,1,75th centile temperature > 9.52
Dotted Fan-foot,9.693506916,9.881661736,1,75th centile temperature > 9.52
Common Rustic,9.552518982,9.883099081,1,75th centile temperature > 9.52
Scarce Silver-lines,9.586229754,9.883099081,1,75th centile temperature > 9.52
Small Brindled Beauty,9.615122383,9.883099081,1,75th centile temperature > 9.52
Lunar-spotted Pinion,9.644074338,9.883099081,1,75th centile temperature > 9.52
Orange-tailed Clearwing,9.666807829,9.883099081,1,75th centile temperature > 9.52
Dingy Shears,9.578347679,9.884278331,1,75th centile temperature > 9.52
Barred Sallow,9.59300576,9.884278331,1,75th centile temperature > 9.52
Eupithecia intricata,9.54697159,9.885457581,1,75th centile temperature > 9.52
Lesser Common Rustic,9.613289893,9.885457581,1,75th centile temperature > 9.52
Chamomile Shark,9.514176735,9.886471969,1,75th centile temperature > 9.52
Blood-vein,9.569371359,9.886471969,1,75th centile temperature > 9.52
Grey Shoulder-knot,9.625345159,9.886471969,1,75th centile temperature > 9.52
Dusky Sallow,9.613422427,9.886810098,1,75th centile temperature > 9.52
Barred Tooth-striped,9.572124993,9.887885258,1,75th centile temperature > 9.52
Ear Moth,9.578734234,9.8884404,1,75th centile temperature > 9.52
Blackneck,9.614859047,9.889048223,1,75th centile temperature > 9.52
Black Rustic,9.44893331,9.890070702,1,75th centile temperature > 9.52
Turnip Moth,9.538571792,9.890070702,1,75th centile temperature > 9.52
Great Prominent,9.61587124,9.890070702,1,75th centile temperature > 9.52
Dark Sword-grass,9.514253003,9.890092454,1,75th centile temperature > 9.52
Scorched Carpet,9.642664535,9.890135957,1,75th centile temperature > 9.52
Round-winged Muslin,9.651033118,9.890157709,1,75th centile temperature > 9.52
Chocolate-tip,9.657340867,9.891363491,1,75th centile temperature > 9.52
Tawny Marbled Minor,9.587582065,9.892743482,1,75th centile temperature > 9.52
Broad-barred White,9.5473904,9.89394907,1,75th centile temperature > 9.52
Least Yellow Underwing,9.554447399,9.89399267,1,75th centile temperature > 9.52
Lappet,9.63921779,9.894021783,1,75th centile temperature > 9.52
Beautiful Hook-tip,9.659113449,9.895241859,1,75th centile temperature > 9.52
White-spotted Pinion,9.660852664,9.897972863,1,75th centile temperature > 9.52
Large Wainscot,9.538571792,9.898581432,1,75th centile temperature > 9.52
Humming-bird Hawk-moth,9.504563965,9.898885717,1,75th centile temperature > 9.52
Double-striped Pug,9.53636738,9.900046496,1,75th centile temperature > 9.52
Barred Rivulet,9.50675203,9.900108327,1,75th centile temperature > 9.52
Eyed Hawk-moth,9.562410707,9.901083312,1,75th centile temperature > 9.52
Bordered Gothic,9.682565091,9.901322604,1,75th centile temperature > 9.52
Pale Oak Beauty,9.671748709,9.90224379,1,75th centile temperature > 9.52
Small Elephant Hawk-moth,9.543962031,9.903145898,1,75th centile temperature > 9.52
Lime Hawk-moth,9.589243582,9.904063719,1,75th centile temperature > 9.52
Oak-tree Pug,9.523677471,9.904110859,1,75th centile temperature > 9.52
Great Oak Beauty,9.736957546,9.904110859,1,75th centile temperature > 9.52
Lesser Cream Wave,9.616295666,9.904295299,1,75th centile temperature > 9.52
August Thorn,9.598382421,9.904525799,1,75th centile temperature > 9.52
Small Chocolate-tip,9.688446151,9.905231394,1,75th centile temperature > 9.52
Ringed Carpet,9.569281521,9.906108094,1,75th centile temperature > 9.52
Sycamore,9.684429237,9.906346807,1,75th centile temperature > 9.52
Birch Mocha,9.630907748,9.908022085,1,75th centile temperature > 9.52
Small Black Arches,9.752410575,9.9085581,1,75th centile temperature > 9.52
Scarce Burnished Brass,9.802483789,9.909089817,1,75th centile temperature > 9.52
Speckled Yellow,9.547939562,9.909464849,1,75th centile temperature > 9.52
Mallow,9.608555726,9.910550367,1,75th centile temperature > 9.52
Eupithecia denotata,9.743833655,9.911371826,1,75th centile temperature > 9.52
Oak Yellow Underwing,9.430845777,9.9130739,1,75th centile temperature > 9.52
Small White Wave,9.619050617,9.914319131,1,75th centile temperature > 9.52
Waved Black,9.747278833,9.914319131,1,75th centile temperature > 9.52
Dusky Peacock,9.701188774,9.916750711,1,75th centile temperature > 9.52
Clay Triple-lines,9.644074338,9.919375138,1,75th centile temperature > 9.52
Maiden's Blush,9.659056726,9.920213742,1,75th centile temperature > 9.52
Photedes morrisii,9.923370017,9.923370017,1,75th centile temperature > 9.52
Leopard Moth,9.640687765,9.925726865,1,75th centile temperature > 9.52
Pine Hawk-moth,9.719742409,9.929355805,1,75th centile temperature > 9.52
Copper Underwing,9.578916232,9.931256481,1,75th centile temperature > 9.52
Archer's Dart,9.514906777,9.938266617,1,75th centile temperature > 9.52
Waved Carpet,9.635512945,9.939743168,1,75th centile temperature > 9.52
Mullein,9.581349227,9.940054234,1,75th centile temperature > 9.52
Light Feathered Rustic,9.629598361,9.945894715,1,75th centile temperature > 9.52
Common Emerald,9.612564411,9.947025103,1,75th centile temperature > 9.52
Sharp-angled Carpet,9.676702589,9.948081767,1,75th centile temperature > 9.52
Scarce Forester,9.923161047,9.948506823,1,75th centile temperature > 9.52
Lime-speck Pug,9.58301046,9.948850969,1,75th centile temperature > 9.52
Lobster Moth,9.672701679,9.951159597,1,75th centile temperature > 9.52
Oak Nycteoline,9.602845899,9.954043476,1,75th centile temperature > 9.52
Lesser-spotted Pinion,9.659000003,9.955383059,1,75th centile temperature > 9.52
Scallop Shell,9.578734234,9.955659597,1,75th centile temperature > 9.52
Scarce Footman,9.647203435,9.956014201,1,75th centile temperature > 9.52
Peacock Moth,9.671748709,9.956368805,1,75th centile temperature > 9.52
Lace Border,9.757721678,9.958958918,1,75th centile temperature > 9.52
Marbled White Spot,9.70195812,9.959315861,1,75th centile temperature > 9.52
Tawny Wave,9.653527393,9.95947613,1,75th centile temperature > 9.52
Light Brocade,9.671748709,9.959658314,1,75th centile temperature > 9.52
Six-belted Clearwing,9.536547086,9.962040135,1,75th centile temperature > 9.52
Shuttle-shaped Dart,9.620642325,9.9641019,1,75th centile temperature > 9.52
Cloaked Minor,9.587582065,9.965825456,1,75th centile temperature > 9.52
Yellow-barred Brindle,9.625025536,9.965825456,1,75th centile temperature > 9.52
Striped Wainscot,9.673881479,9.967250412,1,75th centile temperature > 9.52
Small Blood-vein,9.625664781,9.97061959,1,75th centile temperature > 9.52
Nutmeg,9.627543486,9.970748602,1,75th centile temperature > 9.52
False Mocha,9.703935529,9.970856626,1,75th centile temperature > 9.52
Beautiful Snout,9.601701218,9.972633352,1,75th centile temperature > 9.52
Tawny Shears,9.579490502,9.975125097,1,75th centile temperature > 9.52
Pale Pinion,9.644768223,9.975400586,1,75th centile temperature > 9.52
Vestal,9.55039763,9.976618433,1,75th centile temperature > 9.52
Pretty Chalk Carpet,9.666807829,9.977623279,1,75th centile temperature > 9.52
Rosy Marbled,9.772700882,9.977699635,1,75th centile temperature > 9.52
Treble Lines,9.645462108,9.977787726,1,75th centile temperature > 9.52
Shaded Fan-foot,9.879945616,9.977952172,1,75th centile temperature > 9.52
Pinion-streaked Snout,9.621655275,9.979054128,1,75th centile temperature > 9.52
Small Seraphim,9.736957546,9.981409894,1,75th centile temperature > 9.52
Sloe Carpet,9.81646006,9.982259657,1,75th centile temperature > 9.52
Red-necked Footman,9.516649593,9.982834915,1,75th centile temperature > 9.52
Buff Footman,9.697446711,9.983907148,1,75th centile temperature > 9.52
Currant Clearwing,9.578347679,9.985122144,1,75th centile temperature > 9.52
Reddish Light Arches,9.665263824,9.985951276,1,75th centile temperature > 9.52
Barred Hook-tip,9.672701679,9.986062316,1,75th centile temperature > 9.52
Small Waved Umber,9.714571485,9.987156321,1,75th centile temperature > 9.52
Wood Carpet,9.644074338,9.987462469,1,75th centile temperature > 9.52
Brindled White-spot,9.745215701,9.988862622,1,75th centile temperature > 9.52
Portland Moth,9.351528078,9.990013734,1,75th centile temperature > 9.52
Reed Dagger,9.736727804,9.9936417,1,75th centile temperature > 9.52
Small Emerald,9.665965621,9.994108743,1,75th centile temperature > 9.52
Jubilee Fan-foot,9.996061549,9.996061549,1,75th centile temperature > 9.52
Dentated Pug,9.834118806,10.01377921,1,75th centile temperature > 9.52
Broad-bordered Bee Hawk-moth,9.767062942,10.01558661,1,75th centile temperature > 9.52
Heart & Club,9.692623307,10.01769885,1,75th centile temperature > 9.52
Sallow Clearwing,9.875323199,10.01829117,1,75th centile temperature > 9.52
Double Kidney,9.717802698,10.02573602,1,75th centile temperature > 9.52
Large Thorn,9.707564311,10.0261028,1,75th centile temperature > 9.52
Straw Belle,9.89683917,10.02672432,1,75th centile temperature > 9.52
Gem,9.586229754,10.02754342,1,75th centile temperature > 9.52
Haworth's Pug,9.677358243,10.02754342,1,75th centile temperature > 9.52
Orange Moth,9.749996366,10.02754342,1,75th centile temperature > 9.52
Devon Carpet,9.625274518,10.02838811,1,75th centile temperature > 9.52
Four-spotted,9.58483974,10.02933417,1,75th centile temperature > 9.52
Pale-lemon Sallow,9.704381199,10.0318706,1,75th centile temperature > 9.52
Large Dark Prominent,10.03295255,10.03295255,1,75th centile temperature > 9.52
Black Arches,9.727951127,10.03382949,1,75th centile temperature > 9.52
Brussels Lace,9.627830715,10.03428678,1,75th centile temperature > 9.52
Lackey,9.673938198,10.03428678,1,75th centile temperature > 9.52
Small Eggar,9.659000003,10.03470643,1,75th centile temperature > 9.52
Fisher's Estuarine Moth,10.01738664,10.04064115,1,75th centile temperature > 9.52
Shaded Pug,9.64947263,10.0406485,1,75th centile temperature > 9.52
Dwarf Cream Wave,9.711101333,10.04088402,1,75th centile temperature > 9.52
Coronet,9.645462108,10.04125322,1,75th centile temperature > 9.52
Five-spot Burnet,9.678684252,10.04125322,1,75th centile temperature > 9.52
Marbled Pug,9.698937654,10.04125322,1,75th centile temperature > 9.52
Blair's Shoulder-knot,9.708014563,10.04125322,1,75th centile temperature > 9.52
Clay Fan-foot,9.875323199,10.04348011,1,75th centile temperature > 9.52
Chalk Carpet,9.603236054,10.04449648,1,75th centile temperature > 9.52
Dingy Footman,9.723985448,10.04565081,1,75th centile temperature > 9.52
Privet Hawk-moth,9.708331926,10.04834446,1,75th centile temperature > 9.52
Passenger,10.04834446,10.04834446,1,75th centile temperature > 9.52
Fern,9.744808555,10.05030803,1,75th centile temperature > 9.52
Pearly Underwing,9.616295666,10.05488654,1,75th centile temperature > 9.52
Fen Wainscot,9.714571485,10.05619872,1,75th centile temperature > 9.52
Willowherb Hawk-moth,10.05619872,10.05619872,1,75th centile temperature > 9.52
Small Rufous,9.7496192,10.05625472,1,75th centile temperature > 9.52
Convolvulus Hawk-moth,9.607202573,10.05633264,1,75th centile temperature > 9.52
Scarlet Tiger,9.736352808,10.05635861,1,75th centile temperature > 9.52
Cream-bordered Green Pea,9.726489133,10.05712316,1,75th centile temperature > 9.52
Bordered Sallow,9.661359911,10.05865226,1,75th centile temperature > 9.52
Treble Brown Spot,9.745783455,10.05941681,1,75th centile temperature > 9.52
Olive Crescent,9.890070702,10.05941681,1,75th centile temperature > 9.52
Obscure Wainscot,9.731780234,10.06053652,1,75th centile temperature > 9.52
Square Spot,9.751578745,10.06203184,1,75th centile temperature > 9.52
White-banded Carpet,9.890671859,10.0628544,1,75th centile temperature > 9.52
Brown-veined Wainscot,9.690088958,10.06389566,1,75th centile temperature > 9.52
Red-belted Clearwing,9.784083122,10.06472587,1,75th centile temperature > 9.52
Oleander Hawk-moth,9.846106908,10.07068052,1,75th centile temperature > 9.52
Cudweed,10.07282169,10.07282169,1,75th centile temperature > 9.52
Triangle,9.955659597,10.07992803,1,75th centile temperature > 9.52
Oblique Striped,9.644059771,10.07997324,1,75th centile temperature > 9.52
Silver-striped Hawk-moth,9.369122187,10.08085368,1,75th centile temperature > 9.52
Large Ranunculus,9.727951127,10.08097306,1,75th centile temperature > 9.52
Cloaked Carpet,9.705143592,10.08555877,1,75th centile temperature > 9.52
Bright Wave,9.977952172,10.09734823,1,75th centile temperature > 9.52
Orache Moth,9.988250326,10.09968136,1,75th centile temperature > 9.52
Purple Cloud,10.09968136,10.09968136,1,75th centile temperature > 9.52
Pretty Marbled,10.07282169,10.10043838,1,75th centile temperature > 9.52
Wormwood,9.628881734,10.10989712,1,75th centile temperature > 9.52
Golden Twin-spot,9.841366243,10.115997,1,75th centile temperature > 9.52
Silver Barred,9.970877614,10.115997,1,75th centile temperature > 9.52
Bilberry Pug,9.6412693,10.11842096,1,75th centile temperature > 9.52
Red-tipped Clearwing,9.820268505,10.1312444,1,75th centile temperature > 9.52
Rosy Footman,9.80536346,10.13231265,1,75th centile temperature > 9.52
Little Thorn,9.750650009,10.13447556,1,75th centile temperature > 9.52
White Colon,9.6672786,10.13675703,1,75th centile temperature > 9.52
Sub-angled Wave,10.06656751,10.13782094,1,75th centile temperature > 9.52
Ground Lackey,10.05941681,10.13848029,1,75th centile temperature > 9.52
Southern Wainscot,9.770059069,10.14120142,1,75th centile temperature > 9.52
Satin Wave,9.717802698,10.14219958,1,75th centile temperature > 9.52
Eilema pygmaeola,9.82808754,10.14274229,1,75th centile temperature > 9.52
Goat Moth,9.750176478,10.14760017,1,75th centile temperature > 9.52
Dog's Tooth,9.818678942,10.15354135,1,75th centile temperature > 9.52
Feathered Beauty,10.09968136,10.15437787,1,75th centile temperature > 9.52
Scarce Merveille du Jour,9.955659597,10.15481855,1,75th centile temperature > 9.52
Essex Y,10.15481855,10.15481855,1,75th centile temperature > 9.52
Sandhill Rustic,9.930734231,10.15498913,1,75th centile temperature > 9.52
Dusky Fan-foot,10.16457486,10.16457486,1,75th centile temperature > 9.52
Bordered Grey,9.748774211,10.17947577,1,75th centile temperature > 9.52
Dorset Cream Wave,10.17947577,10.17947577,1,75th centile temperature > 9.52
Scar Bank Gem,10.00607457,10.17961185,1,75th centile temperature > 9.52
Galium Carpet,9.582815679,10.18088157,1,75th centile temperature > 9.52
Orange Footman,9.890070702,10.18088157,1,75th centile temperature > 9.52
Bordered Straw,9.747278833,10.18105763,1,75th centile temperature > 9.52
Feathered Ranunculus,9.886810098,10.18228737,1,75th centile temperature > 9.52
Silky Wainscot,9.745783455,10.1826395,1,75th centile temperature > 9.52
Black-veined Moth,10.18184569,10.18382446,1,75th centile temperature > 9.52
Lydd Beauty,10.18580323,10.18580323,1,75th centile temperature > 9.52
Scarce Chocolate-tip,10.06408006,10.19209568,1,75th centile temperature > 9.52
Clifden Nonpareil,9.59771309,10.19614173,1,75th centile temperature > 9.52
Dotted Chestnut,9.834118806,10.19633246,1,75th centile temperature > 9.52
Royal Mantle,9.807971026,10.19684725,1,75th centile temperature > 9.52
Dotted Border Wave,9.784521358,10.19725773,1,75th centile temperature > 9.52
White-line Snout,9.856681159,10.19942963,1,75th centile temperature > 9.52
Mocha,9.797604012,10.20047799,1,75th centile temperature > 9.52
Scarce Bordered Straw,9.710396823,10.20438344,1,75th centile temperature > 9.52
Annulet,9.653464153,10.20649291,1,75th centile temperature > 9.52
Horse Chestnut Moth,9.821736557,10.21445944,1,75th centile temperature > 9.52
Brown-tail,9.904048005,10.22015368,1,75th centile temperature > 9.52
Sharp-angled Peacock,9.911371826,10.22846491,1,75th centile temperature > 9.52
Square-spot Dart,9.727702742,10.23409607,1,75th centile temperature > 9.52
Vine's Rustic,9.8884404,10.24349989,1,75th centile temperature > 9.52
Blair's Wainscot,10.18580323,10.25295726,1,75th centile temperature > 9.52
Twin-spotted Wainscot,9.896607361,10.25388711,1,75th centile temperature > 9.52
Plain Pug,9.770154226,10.25419536,1,75th centile temperature > 9.52
Small Grass Emerald,9.939476499,10.26311876,1,75th centile temperature > 9.52
Small Mottled Willow,9.80129182,10.26646498,1,75th centile temperature > 9.52
Water Ermine,10.00960269,10.27058926,1,75th centile temperature > 9.52
Dewick's Plusia,9.693632358,10.27080616,1,75th centile temperature > 9.52
Marsh Mallow Moth,10.27422626,10.27422626,1,75th centile temperature > 9.52
Buttoned Snout,9.877634407,10.28338324,1,75th centile temperature > 9.52
Ruddy Carpet,9.944986264,10.2857956,1,75th centile temperature > 9.52
Marbled Grey,10.25295726,10.28653428,1,75th centile temperature > 9.52
Crescent Striped,9.970877614,10.31474146,1,75th centile temperature > 9.52
Sussex Emerald,10.32011129,10.32011129,1,75th centile temperature > 9.52
Mediterranean Brocade,9.972318805,10.32245356,1,75th centile temperature > 9.52
Ni Moth,9.646773484,10.32748924,1,75th centile temperature > 9.52
Radford's Flame Shoulder,10.28192482,10.32937594,1,75th centile temperature > 9.52
Saltern Ear,9.82320461,10.3359877,1,75th centile temperature > 9.52
Great Dart,10.28675379,10.33722907,1,75th centile temperature > 9.52
Star-wort,9.970877614,10.34511206,1,75th centile temperature > 9.52
Tunbridge Wells Gem,10.35314914,10.35314914,1,75th centile temperature > 9.52
Toadflax Brocade,10.30937163,10.35390782,1,75th centile temperature > 9.52
Essex Emerald,10.27579181,10.35433805,1,75th centile temperature > 9.52
Four-spotted Footman,9.926074619,10.35777284,1,75th centile temperature > 9.52
White-point,10.08312443,10.36106359,1,75th centile temperature > 9.52
Rest Harrow,10.28340396,10.3610784,1,75th centile temperature > 9.52
Reddish Buff,10.35314914,10.36163098,1,75th centile temperature > 9.52
Shore Wainscot,9.968157031,10.3704096,1,75th centile temperature > 9.52
Dingy Mocha,10.21670452,10.372168,1,75th centile temperature > 9.52
Sand Dart,9.693506916,10.37239058,1,75th centile temperature > 9.52
Webb's Wainscot,10.15223451,10.37239058,1,75th centile temperature > 9.52
Shoulder-striped Clover,10.17947577,10.37422558,1,75th centile temperature > 9.52
Cypress Carpet,10.17947577,10.37682707,1,75th centile temperature > 9.52
Cypress Pug,10.16811085,10.37720368,1,75th centile temperature > 9.52
Mullein Wave,10.06389566,10.37795691,1,75th centile temperature > 9.52
Kent Black Arches,10.09968136,10.37833352,1,75th centile temperature > 9.52
Spanish Carpet,10.37833352,10.37833352,1,75th centile temperature > 9.52
Cream-spot Tiger,10.07193445,10.37860355,1,75th centile temperature > 9.52
Striped Hawk-moth,9.988862622,10.37941364,1,75th centile temperature > 9.52
Purple Marbled,10.28031044,10.38067623,1,75th centile temperature > 9.52
Flame Brocade,10.37758029,10.38536164,1,75th centile temperature > 9.52
Silky Wave,10.35459637,10.38546933,1,75th centile temperature > 9.52
Rosy Wave,10.1435656,10.38554564,1,75th centile temperature > 9.52
White-speck,10.06299216,10.38563167,1,75th centile temperature > 9.52
Portland Ribbon Wave,10.26463105,10.38770435,1,75th centile temperature > 9.52
Beautiful Gothic,10.37682707,10.38770435,1,75th centile temperature > 9.52
Least Carpet,9.977623279,10.38823824,1,75th centile temperature > 9.52
Feathered Brindle,10.19488517,10.38952781,1,75th centile temperature > 9.52
Cosmopolitan,10.26771825,10.38952781,1,75th centile temperature > 9.52
Yellow Belle,10.14980046,10.39135128,1,75th centile temperature > 9.52
Crimson Speckled,10.24987241,10.39254044,1,75th centile temperature > 9.52
Delicate,10.15896909,10.39530202,1,75th centile temperature > 9.52
Crescent Dart,10.16457486,10.39766547,1,75th centile temperature > 9.52
Oak Processionary,10.25695946,10.4036755,1,75th centile temperature > 9.52
Slender Burnished Brass,10.37011282,10.40566724,1,75th centile temperature > 9.52
Marbled Green,10.17202532,10.4091828,1,75th centile temperature > 9.52
Light Crimson Underwing,10.16714716,10.41733761,1,75th centile temperature > 9.52
White Spot,10.32011129,10.41899472,1,75th centile temperature > 9.52
Mathew's Wainscot,10.23876979,10.4192466,1,75th centile temperature > 9.52
Small Marbled,10.38770435,10.42835823,1,75th centile temperature > 9.52
L-album Wainscot,10.33020661,10.42998843,1,75th centile temperature > 9.52
Blair's Mocha,10.31748013,10.46827307,1,75th centile temperature > 9.52
Yarrow Pug,10.14549993,10.48344438,1,75th centile temperature > 9.52
Dusky Hook-tip,10.48344438,10.48344438,1,75th centile temperature > 9.52
Jersey Tiger,10.31661089,10.48441038,1,75th centile temperature > 9.52
Speckled Footman,10.25393328,10.49135027,1,75th centile temperature > 9.52
Devonshire Wainscot,10.37491162,10.50307916,1,75th centile temperature > 9.52
Thrift Clearwing,10.18228737,10.50350825,1,75th centile temperature > 9.52
Grass Eggar,10.44007005,10.53976747,1,75th centile temperature > 9.52
Gypsy Moth,10.51107125,10.55039153,1,75th centile temperature > 9.52
Levant Blackneck,10.55039153,10.55039153,1,75th centile temperature > 9.52
Black-banded,10.42792445,10.55240754,1,75th centile temperature > 9.52
Barrett's Marbled Coronet,10.24987241,10.55262531,1,75th centile temperature > 9.52
Hoary Footman,10.36310935,10.5537422,1,75th centile temperature > 9.52
Dark Mottled Willow,10.50915156,10.56987516,1,75th centile temperature > 9.52
Dumeril's Rustic,10.63059877,10.63059877,1,75th centile temperature > 9.52
Porter's Rustic,10.63059877,10.63059877,1,75th centile temperature > 9.52
Bloxworth Snout,10.62013835,10.66593123,1,75th centile temperature > 9.52
Dark Crimson Underwing,10.39150318,10.69280036,1,75th centile temperature > 9.52
Tree-lichen Beauty,10.65151886,10.72174266,1,75th centile temperature > 9.52
Red-headed Chestnut,10.8423906,10.8423906,1,75th centile temperature > 9.52
