Common_name,Hectad,Time_period,Exclude
Scarce Silver Y,NH13,2012-2016,0
Red Sword-grass,NH17,2012-2016,0
Scarce Silver Y,NH19,2012-2016,0
Gold Spangle,NH20,2012-2016,0
Scarce Silver Y,NH20,2012-2016,0
Golden-rod Brindle,NH20,2012-2016,0
Red Sword-grass,NH20,1975-1991,0
Red Sword-grass,NH21,2012-2016,0
Rannoch Looper,NH22,1975-1991,0
Rannoch Looper,NH22,2012-2016,0
Scarce Silver Y,NH22,2012-2016,0
Angle-striped Sallow,NH22,2012-2016,0
Great Brocade,NH22,1975-1991,0
Great Brocade,NH22,2012-2016,0
Rannoch Looper,NH23,2012-2016,0
Red Sword-grass,NH25,1975-1991,0
Scarce Silver Y,NH26,1975-1991,0
Rannoch Looper,NH30,1975-1991,0
Gold Spangle,NH30,1975-1991,0
Scarce Silver Y,NH30,1975-1991,0
Golden-rod Brindle,NH30,1975-1991,0
Red Sword-grass,NH30,1975-1991,0
Angle-striped Sallow,NH30,1975-1991,0
Great Brocade,NH30,1975-1991,0
Rannoch Looper,NH31,2012-2016,0
Gold Spangle,NH31,2012-2016,0
Red Sword-grass,NH31,2012-2016,0
Gold Spangle,NH32,1975-1991,0
Great Brocade,NH32,1975-1991,0
Rannoch Looper,NH33,1975-1991,0
Gold Spangle,NH33,1975-1991,0
Scarce Silver Y,NH33,1975-1991,0
Scarce Silver Y,NH33,2012-2016,0
Angle-striped Sallow,NH33,1975-1991,0
Great Brocade,NH33,1975-1991,0
Great Brocade,NH33,2012-2016,0
Rannoch Looper,NH34,2012-2016,0
Great Brocade,NH34,2012-2016,0
Rannoch Looper,NH35,1975-1991,0
Scarce Silver Y,NH35,1975-1991,0
Golden-rod Brindle,NH35,2012-2016,0
Angle-striped Sallow,NH35,2012-2016,0
Great Brocade,NH35,1975-1991,0
Red Sword-grass,NH36,2012-2016,0
Gold Spangle,NH41,2012-2016,0
Great Brocade,NH41,2012-2016,0
Rannoch Looper,NH43,2012-2016,0
Gold Spangle,NH43,2012-2016,0
Scarce Silver Y,NH43,2012-2016,0
Golden-rod Brindle,NH43,2012-2016,0
Red Sword-grass,NH43,2012-2016,0
Angle-striped Sallow,NH43,2012-2016,0
Great Brocade,NH43,2012-2016,0
Gold Spangle,NH44,2012-2016,0
Red Sword-grass,NH44,2012-2016,0
Angle-striped Sallow,NH44,2012-2016,0
Great Brocade,NH44,2012-2016,0
Gold Spangle,NH45,2012-2016,0
Sword-grass,NH45,2012-2016,0
Red Sword-grass,NH45,2012-2016,0
Angle-striped Sallow,NH45,2012-2016,0
Gold Spangle,NH46,1975-1991,0
Scarce Silver Y,NH46,1975-1991,0
Scarce Silver Y,NH49,2012-2016,0
Sword-grass,NH49,2012-2016,0
Red Sword-grass,NH49,2012-2016,0
Scarce Silver Y,NH50,2012-2016,0
Gold Spangle,NH51,2012-2016,0
Scarce Silver Y,NH51,2012-2016,0
Sword-grass,NH51,2012-2016,0
Angle-striped Sallow,NH51,2012-2016,0
Gold Spangle,NH52,2012-2016,0
Scarce Silver Y,NH52,2012-2016,0
Angle-striped Sallow,NH52,2012-2016,0
Gold Spangle,NH53,2012-2016,0
Scarce Silver Y,NH53,2012-2016,0
Sword-grass,NH53,2012-2016,0
Red Sword-grass,NH53,2012-2016,0
Angle-striped Sallow,NH53,2012-2016,0
Great Brocade,NH53,2012-2016,0
Gold Spangle,NH54,2012-2016,0
Red Sword-grass,NH54,1975-1991,0
Red Sword-grass,NH54,2012-2016,0
Angle-striped Sallow,NH54,2012-2016,0
Gold Spangle,NH55,2012-2016,0
Scarce Silver Y,NH55,2012-2016,0
Golden-rod Brindle,NH55,2012-2016,0
Sword-grass,NH55,2012-2016,0
Red Sword-grass,NH55,2012-2016,0
Angle-striped Sallow,NH55,2012-2016,0
Red Sword-grass,NH56,2012-2016,0
Angle-striped Sallow,NH56,2012-2016,0
Gold Spangle,NH59,1975-1991,0
Gold Spangle,NH59,2012-2016,0
Scarce Silver Y,NH59,1975-1991,0
Scarce Silver Y,NH59,2012-2016,0
Great Brocade,NH60,2012-2016,0
Golden-rod Brindle,NH62,2012-2016,0
Gold Spangle,NH63,1975-1991,0
Scarce Silver Y,NH63,1975-1991,0
Golden-rod Brindle,NH63,1975-1991,0
Sword-grass,NH63,1975-1991,0
Red Sword-grass,NH63,1975-1991,0
Great Brocade,NH63,1975-1991,0
Gold Spangle,NH64,1975-1991,0
Gold Spangle,NH64,2012-2016,0
Scarce Silver Y,NH64,1975-1991,0
Gold Spangle,NH65,2012-2016,0
Scarce Silver Y,NH65,2012-2016,0
Sword-grass,NH65,2012-2016,0
Red Sword-grass,NH65,2012-2016,0
Angle-striped Sallow,NH65,2012-2016,0
Red Sword-grass,NH66,2012-2016,0
Angle-striped Sallow,NH66,2012-2016,0
Gold Spangle,NH67,1975-1991,0
Scarce Silver Y,NH67,1975-1991,0
Golden-rod Brindle,NH67,2012-2016,0
Red Sword-grass,NH67,1975-1991,0
Angle-striped Sallow,NH67,1975-1991,0
Red Sword-grass,NH68,2012-2016,0
Gold Spangle,NH70,2012-2016,0
Scarce Silver Y,NH70,1975-1991,0
Scarce Silver Y,NH70,2012-2016,0
Golden-rod Brindle,NH70,1975-1991,0
Golden-rod Brindle,NH70,2012-2016,0
Sword-grass,NH70,2012-2016,0
Red Sword-grass,NH70,1975-1991,0
Red Sword-grass,NH70,2012-2016,0
Angle-striped Sallow,NH70,1975-1991,0
Angle-striped Sallow,NH70,2012-2016,0
Great Brocade,NH70,2012-2016,0
Gold Spangle,NH71,2012-2016,0
Scarce Silver Y,NH71,2012-2016,0
Red Sword-grass,NH71,2012-2016,0
Angle-striped Sallow,NH71,2012-2016,0
Gold Spangle,NH74,2012-2016,0
Scarce Silver Y,NH74,2012-2016,0
Angle-striped Sallow,NH75,2012-2016,0
Gold Spangle,NH76,1975-1991,0
Gold Spangle,NH76,2012-2016,0
Sword-grass,NH76,1975-1991,0
Red Sword-grass,NH76,1975-1991,0
Red Sword-grass,NH76,2012-2016,0
Great Brocade,NH76,1975-1991,0
Gold Spangle,NH77,2012-2016,0
Scarce Silver Y,NH77,2012-2016,0
Sword-grass,NH77,2012-2016,0
Red Sword-grass,NH77,2012-2016,0
Angle-striped Sallow,NH77,2012-2016,0
Great Brocade,NH77,2012-2016,0
Gold Spangle,NH78,2012-2016,0
Gold Spangle,NH79,2012-2016,0
Scarce Silver Y,NH79,2012-2016,0
Sword-grass,NH79,2012-2016,0
Red Sword-grass,NH79,2012-2016,0
Angle-striped Sallow,NH79,2012-2016,0
Gold Spangle,NH80,1975-1991,0
Gold Spangle,NH80,2012-2016,0
Scarce Silver Y,NH80,2012-2016,0
Golden-rod Brindle,NH80,1975-1991,0
Golden-rod Brindle,NH80,2012-2016,0
Sword-grass,NH80,1975-1991,0
Sword-grass,NH80,2012-2016,0
Red Sword-grass,NH80,1975-1991,0
Red Sword-grass,NH80,2012-2016,0
Angle-striped Sallow,NH80,1975-1991,0
Angle-striped Sallow,NH80,2012-2016,0
Great Brocade,NH80,1975-1991,0
Great Brocade,NH80,2012-2016,0
Gold Spangle,NH81,2012-2016,0
Scarce Silver Y,NH81,1975-1991,0
Scarce Silver Y,NH81,2012-2016,0
Golden-rod Brindle,NH81,2012-2016,0
Sword-grass,NH81,1975-1991,0
Sword-grass,NH81,2012-2016,0
Red Sword-grass,NH81,1975-1991,0
Red Sword-grass,NH81,2012-2016,0
Angle-striped Sallow,NH81,2012-2016,0
Great Brocade,NH81,1975-1991,0
Great Brocade,NH81,2012-2016,0
Scarce Silver Y,NH82,2012-2016,0
Golden-rod Brindle,NH82,2012-2016,0
Sword-grass,NH82,2012-2016,0
Red Sword-grass,NH82,2012-2016,0
Gold Spangle,NH83,2012-2016,0
Scarce Silver Y,NH83,2012-2016,0
Gold Spangle,NH84,2012-2016,0
Scarce Silver Y,NH84,2012-2016,0
Gold Spangle,NH86,2012-2016,0
Gold Spangle,NH87,2012-2016,0
Red Sword-grass,NH87,2012-2016,0
Angle-striped Sallow,NH87,2012-2016,0
Gold Spangle,NH88,1975-1991,0
Gold Spangle,NH89,2012-2016,0
Scarce Silver Y,NH89,2012-2016,0
Red Sword-grass,NH89,2012-2016,0
Angle-striped Sallow,NH89,2012-2016,0
Rannoch Looper,NH90,1975-1991,0
Rannoch Looper,NH90,2012-2016,0
Gold Spangle,NH90,2012-2016,0
Scarce Silver Y,NH90,2012-2016,0
Golden-rod Brindle,NH90,1975-1991,0
Golden-rod Brindle,NH90,2012-2016,0
Red Sword-grass,NH90,2012-2016,0
Angle-striped Sallow,NH90,2012-2016,0
Rannoch Looper,NH91,1975-1991,0
Rannoch Looper,NH91,2012-2016,0
Gold Spangle,NH91,1975-1991,0
Gold Spangle,NH91,2012-2016,0
Scarce Silver Y,NH91,1975-1991,0
Scarce Silver Y,NH91,2012-2016,0
Golden-rod Brindle,NH91,1975-1991,0
Golden-rod Brindle,NH91,2012-2016,0
Sword-grass,NH91,1975-1991,0
Sword-grass,NH91,2012-2016,0
Red Sword-grass,NH91,1975-1991,0
Red Sword-grass,NH91,2012-2016,0
Angle-striped Sallow,NH91,1975-1991,0
Angle-striped Sallow,NH91,2012-2016,0
Great Brocade,NH91,1975-1991,0
Great Brocade,NH91,2012-2016,0
Rannoch Looper,NH92,2012-2016,0
Gold Spangle,NH92,1975-1991,0
Gold Spangle,NH92,2012-2016,0
Scarce Silver Y,NH92,1975-1991,0
Scarce Silver Y,NH92,2012-2016,0
Golden-rod Brindle,NH92,2012-2016,0
Sword-grass,NH92,2012-2016,0
Red Sword-grass,NH92,2012-2016,0
Angle-striped Sallow,NH92,2012-2016,0
Great Brocade,NH92,2012-2016,0
Scarce Silver Y,NH93,2012-2016,0
Gold Spangle,NH94,2012-2016,0
Sword-grass,NH94,2012-2016,0
Red Sword-grass,NH94,2012-2016,0
Red Sword-grass,NH96,2012-2016,0
Angle-striped Sallow,NH96,2012-2016,0
Scarce Silver Y,NJ00,2012-2016,0
Rannoch Looper,NJ01,1975-1991,0
Scarce Silver Y,NJ01,1975-1991,0
Rannoch Looper,NJ02,2012-2016,0
Gold Spangle,NJ02,2012-2016,0
Scarce Silver Y,NJ02,2012-2016,0
Golden-rod Brindle,NJ02,2012-2016,0
Red Sword-grass,NJ02,2012-2016,0
Angle-striped Sallow,NJ02,2012-2016,0
Great Brocade,NJ02,2012-2016,0
Gold Spangle,NJ03,2012-2016,0
Scarce Silver Y,NJ03,2012-2016,0
Golden-rod Brindle,NJ03,2012-2016,0
Red Sword-grass,NJ03,2012-2016,0
Angle-striped Sallow,NJ03,2012-2016,0
Gold Spangle,NJ04,2012-2016,0
Sword-grass,NJ04,2012-2016,0
Red Sword-grass,NJ04,2012-2016,0
Angle-striped Sallow,NJ04,2012-2016,0
Gold Spangle,NJ05,2012-2016,0
Sword-grass,NJ05,2012-2016,0
Red Sword-grass,NJ05,2012-2016,0
Angle-striped Sallow,NJ05,2012-2016,0
Gold Spangle,NJ06,1975-1991,0
Gold Spangle,NJ06,2012-2016,0
Red Sword-grass,NJ06,2012-2016,0
Angle-striped Sallow,NJ06,2012-2016,0
Great Brocade,NJ06,2012-2016,0
Gold Spangle,NJ11,2012-2016,0
Scarce Silver Y,NJ12,2012-2016,0
Golden-rod Brindle,NJ12,2012-2016,0
Rannoch Looper,NJ13,2012-2016,0
Gold Spangle,NJ13,2012-2016,0
Rannoch Looper,NJ14,2012-2016,0
Red Sword-grass,NJ14,2012-2016,0
Angle-striped Sallow,NJ14,2012-2016,0
Gold Spangle,NJ16,1975-1991,0
Sword-grass,NJ16,1975-1991,0
Red Sword-grass,NJ16,1975-1991,0
Angle-striped Sallow,NJ16,1975-1991,0
Great Brocade,NJ16,1975-1991,0
Golden-rod Brindle,NJ20,2012-2016,0
Scarce Silver Y,NJ21,2012-2016,0
Rannoch Looper,NJ23,2012-2016,0
Scarce Silver Y,NJ23,2012-2016,0
Gold Spangle,NJ24,2012-2016,0
Angle-striped Sallow,NJ25,2012-2016,0
Gold Spangle,NJ26,2012-2016,0
Sword-grass,NJ26,1975-1991,0
Red Sword-grass,NJ26,2012-2016,0
Rannoch Looper,NJ30,1975-1991,0
Gold Spangle,NJ30,2012-2016,0
Rannoch Looper,NJ32,2012-2016,0
Gold Spangle,NJ32,2012-2016,0
Scarce Silver Y,NJ32,2012-2016,0
Gold Spangle,NJ33,1975-1991,0
Gold Spangle,NJ33,2012-2016,0
Rannoch Looper,NJ34,2012-2016,0
Sword-grass,NJ35,2012-2016,0
Gold Spangle,NJ36,2012-2016,0
Gold Spangle,NJ40,2012-2016,0
Golden-rod Brindle,NJ40,1975-1991,0
Scarce Silver Y,NJ42,2012-2016,0
Red Sword-grass,NJ42,2012-2016,0
Scarce Silver Y,NJ45,2012-2016,0
Sword-grass,NJ45,2012-2016,0
Red Sword-grass,NJ45,2012-2016,0
Great Brocade,NJ45,2012-2016,1
Gold Spangle,NJ46,2012-2016,0
Scarce Silver Y,NJ46,2012-2016,0
Sword-grass,NJ46,2012-2016,0
Red Sword-grass,NJ46,2012-2016,0
Gold Spangle,NJ50,2012-2016,0
Gold Spangle,NJ51,2012-2016,0
Scarce Silver Y,NJ51,2012-2016,0
Red Sword-grass,NJ51,2012-2016,0
Great Brocade,NJ51,2012-2016,1
Gold Spangle,NJ54,1975-1991,0
Gold Spangle,NJ55,1975-1991,0
Gold Spangle,NJ55,2012-2016,0
Scarce Silver Y,NJ55,1975-1991,0
Scarce Silver Y,NJ55,2012-2016,0
Sword-grass,NJ55,1975-1991,0
Sword-grass,NJ55,2012-2016,0
Red Sword-grass,NJ55,1975-1991,0
Red Sword-grass,NJ55,2012-2016,0
Great Brocade,NJ55,1975-1991,1
Great Brocade,NJ55,2012-2016,1
Gold Spangle,NJ60,2012-2016,0
Rannoch Looper,NJ61,2012-2016,0
Gold Spangle,NJ61,1975-1991,0
Red Sword-grass,NJ61,2012-2016,0
Great Brocade,NJ61,1975-1991,1
Gold Spangle,NJ62,1975-1991,0
Gold Spangle,NJ64,1975-1991,0
Gold Spangle,NJ65,2012-2016,0
Sword-grass,NJ65,2012-2016,0
Red Sword-grass,NJ66,1975-1991,0
Great Brocade,NJ66,2012-2016,1
Gold Spangle,NJ70,2012-2016,0
Sword-grass,NJ70,1975-1991,0
Sword-grass,NJ70,2012-2016,0
Red Sword-grass,NJ70,2012-2016,0
Gold Spangle,NJ80,2012-2016,0
Rannoch Looper,NJ81,1975-1991,0
Gold Spangle,NJ81,1975-1991,0
Sword-grass,NJ81,1975-1991,0
Red Sword-grass,NJ81,1975-1991,0
Great Brocade,NJ81,1975-1991,1
Gold Spangle,NJ82,1975-1991,0
Gold Spangle,NJ82,2012-2016,0
Scarce Silver Y,NJ82,1975-1991,0
Sword-grass,NJ82,1975-1991,0
Sword-grass,NJ82,2012-2016,0
Red Sword-grass,NJ82,1975-1991,0
Red Sword-grass,NJ82,2012-2016,0
Great Brocade,NJ82,1975-1991,1
Great Brocade,NJ82,2012-2016,1
Gold Spangle,NJ83,1975-1991,0
Gold Spangle,NJ83,2012-2016,0
Sword-grass,NJ83,2012-2016,0
Red Sword-grass,NJ83,2012-2016,0
Great Brocade,NJ83,1975-1991,1
Great Brocade,NJ84,1975-1991,1
Gold Spangle,NJ86,1975-1991,0
Gold Spangle,NJ90,1975-1991,0
Gold Spangle,NJ90,2012-2016,0
Gold Spangle,NJ91,2012-2016,0
Red Sword-grass,NJ91,2012-2016,0
Sword-grass,NK02,1975-1991,0
Red Sword-grass,NK02,1975-1991,0
Great Brocade,NK02,1975-1991,1
Gold Spangle,NK05,1975-1991,0
Gold Spangle,NK13,1975-1991,0
Gold Spangle,NL94,2012-2016,0
Red Sword-grass,NL94,2012-2016,0
Red Sword-grass,NM15,2012-2016,0
Gold Spangle,NM26,1975-1991,0
Red Sword-grass,NM26,1975-1991,0
Great Brocade,NM26,1975-1991,0
Gold Spangle,NM31,2012-2016,0
Gold Spangle,NM34,2012-2016,0
Gold Spangle,NM35,2012-2016,0
Gold Spangle,NM42,2012-2016,0
Red Sword-grass,NM42,2012-2016,0
Red Sword-grass,NM43,1975-1991,0
Scarce Silver Y,NM44,2012-2016,0
Great Brocade,NM44,2012-2016,0
Gold Spangle,NM45,1975-1991,0
Gold Spangle,NM45,2012-2016,0
Red Sword-grass,NM45,2012-2016,0
Great Brocade,NM45,2012-2016,0
Gold Spangle,NM47,2012-2016,0
Red Sword-grass,NM48,2012-2016,0
Great Brocade,NM48,2012-2016,0
Gold Spangle,NM49,1975-1991,0
Gold Spangle,NM49,2012-2016,0
Red Sword-grass,NM49,1975-1991,0
Great Brocade,NM49,2012-2016,0
Gold Spangle,NM52,2012-2016,0
Gold Spangle,NM53,2012-2016,0
Scarce Silver Y,NM53,2012-2016,0
Red Sword-grass,NM53,2012-2016,0
Gold Spangle,NM54,1975-1991,0
Gold Spangle,NM54,2012-2016,0
Red Sword-grass,NM54,1975-1991,0
Red Sword-grass,NM54,2012-2016,0
Great Brocade,NM54,1975-1991,0
Great Brocade,NM54,2012-2016,0
Gold Spangle,NM55,2012-2016,0
Red Sword-grass,NM55,2012-2016,0
Gold Spangle,NM56,2012-2016,0
Red Sword-grass,NM56,2012-2016,0
Gold Spangle,NM57,2012-2016,0
Red Sword-grass,NM62,1975-1991,0
Red Sword-grass,NM62,2012-2016,0
Gold Spangle,NM64,2012-2016,0
Red Sword-grass,NM64,2012-2016,0
Red Sword-grass,NM65,2012-2016,0
Gold Spangle,NM66,2012-2016,0
Red Sword-grass,NM66,2012-2016,0
Gold Spangle,NM69,2012-2016,0
Red Sword-grass,NM69,2012-2016,0
Gold Spangle,NM70,1975-1991,0
Gold Spangle,NM70,2012-2016,0
Red Sword-grass,NM70,2012-2016,0
Gold Spangle,NM73,2012-2016,0
Scarce Silver Y,NM73,2012-2016,0
Red Sword-grass,NM73,2012-2016,0
Great Brocade,NM73,2012-2016,0
Red Sword-grass,NM74,1975-1991,0
Gold Spangle,NM76,2012-2016,0
Gold Spangle,NM80,2012-2016,0
Gold Spangle,NM81,2012-2016,0
Gold Spangle,NM82,2012-2016,0
Red Sword-grass,NM82,2012-2016,0
Gold Spangle,NM83,2012-2016,0
Gold Spangle,NM84,2012-2016,0
Gold Spangle,NM86,2012-2016,0
Scarce Silver Y,NM86,1975-1991,0
Red Sword-grass,NM86,1975-1991,0
Red Sword-grass,NM86,2012-2016,0
Great Brocade,NM86,1975-1991,0
Great Brocade,NM86,2012-2016,0
Great Brocade,NM88,1975-1991,0
Gold Spangle,NM93,1975-1991,0
Red Sword-grass,NM93,1975-1991,0
Red Sword-grass,NM93,2012-2016,0
Gold Spangle,NM94,1975-1991,0
Gold Spangle,NM94,2012-2016,0
Scarce Silver Y,NM94,1975-1991,0
Scarce Silver Y,NM94,2012-2016,0
Golden-rod Brindle,NM94,1975-1991,0
Sword-grass,NM94,1975-1991,0
Red Sword-grass,NM94,1975-1991,0
Red Sword-grass,NM94,2012-2016,0
Great Brocade,NM94,1975-1991,0
Gold Spangle,NM95,2012-2016,0
Red Sword-grass,NM95,2012-2016,0
Great Brocade,NM95,2012-2016,0
Red Sword-grass,NM98,2012-2016,0
Great Brocade,NN02,2012-2016,0
Gold Spangle,NN03,2012-2016,0
Red Sword-grass,NN03,2012-2016,0
Great Brocade,NN03,2012-2016,0
Gold Spangle,NN04,1975-1991,0
Red Sword-grass,NN04,2012-2016,0
Great Brocade,NN04,1975-1991,0
Gold Spangle,NN06,2012-2016,0
Scarce Silver Y,NN06,1975-1991,0
Scarce Silver Y,NN06,2012-2016,0
Great Brocade,NN06,1975-1991,0
Great Brocade,NN07,2012-2016,0
Scarce Silver Y,NN09,1975-1991,0
Red Sword-grass,NN11,2012-2016,0
Red Sword-grass,NN12,2012-2016,0
Red Sword-grass,NN13,2012-2016,0
Gold Spangle,NN15,1975-1991,0
Gold Spangle,NN15,2012-2016,0
Scarce Silver Y,NN15,2012-2016,0
Red Sword-grass,NN15,2012-2016,0
Gold Spangle,NN16,2012-2016,0
Scarce Silver Y,NN16,1975-1991,0
Scarce Silver Y,NN16,2012-2016,0
Great Brocade,NN16,1975-1991,0
Great Brocade,NN16,2012-2016,0
Gold Spangle,NN17,1975-1991,0
Gold Spangle,NN17,2012-2016,0
Scarce Silver Y,NN17,1975-1991,0
Great Brocade,NN17,2012-2016,0
Gold Spangle,NN18,2012-2016,0
Scarce Silver Y,NN18,2012-2016,0
Red Sword-grass,NN18,2012-2016,0
Scarce Silver Y,NN19,1975-1991,0
Great Brocade,NN19,1975-1991,0
Great Brocade,NN22,1975-1991,0
Scarce Silver Y,NN23,2012-2016,0
Great Brocade,NN23,2012-2016,0
Red Sword-grass,NN24,2012-2016,0
Scarce Silver Y,NN25,1975-1991,0
Scarce Silver Y,NN25,2012-2016,0
Red Sword-grass,NN25,2012-2016,0
Great Brocade,NN25,2012-2016,0
Gold Spangle,NN28,1975-1991,0
Gold Spangle,NN28,2012-2016,0
Scarce Silver Y,NN28,2012-2016,0
Red Sword-grass,NN28,2012-2016,0
Scarce Silver Y,NN30,1975-1991,0
Red Sword-grass,NN30,2012-2016,0
Golden-rod Brindle,NN32,1975-1991,0
Scarce Silver Y,NN37,2012-2016,0
Great Brocade,NN37,2012-2016,0
Scarce Silver Y,NN38,1975-1991,0
Gold Spangle,NN40,2012-2016,0
Scarce Silver Y,NN40,1975-1991,0
Scarce Silver Y,NN40,2012-2016,0
Golden-rod Brindle,NN40,1975-1991,0
Golden-rod Brindle,NN40,2012-2016,0
Sword-grass,NN40,2012-2016,0
Great Brocade,NN40,1975-1991,0
Gold Spangle,NN45,2012-2016,0
Scarce Silver Y,NN45,2012-2016,0
Sword-grass,NN45,1975-1991,0
Sword-grass,NN45,2012-2016,0
Red Sword-grass,NN45,2012-2016,0
Scarce Silver Y,NN47,2012-2016,0
Scarce Silver Y,NN48,2012-2016,0
Red Sword-grass,NN48,2012-2016,0
Scarce Silver Y,NN49,2012-2016,0
Great Brocade,NN49,2012-2016,0
Gold Spangle,NN50,2012-2016,0
Gold Spangle,NN52,2012-2016,0
Scarce Silver Y,NN52,2012-2016,0
Red Sword-grass,NN52,2012-2016,0
Gold Spangle,NN53,1975-1991,0
Gold Spangle,NN53,2012-2016,0
Scarce Silver Y,NN53,2012-2016,0
Red Sword-grass,NN53,2012-2016,0
Rannoch Looper,NN55,1975-1991,0
Gold Spangle,NN55,1975-1991,0
Scarce Silver Y,NN55,1975-1991,0
Golden-rod Brindle,NN55,1975-1991,0
Golden-rod Brindle,NN55,2012-2016,0
Sword-grass,NN55,1975-1991,0
Sword-grass,NN55,2012-2016,0
Red Sword-grass,NN55,1975-1991,0
Red Sword-grass,NN55,2012-2016,0
Angle-striped Sallow,NN55,2012-2016,0
Great Brocade,NN55,1975-1991,0
Gold Spangle,NN60,2012-2016,0
Gold Spangle,NN63,1975-1991,0
Scarce Silver Y,NN63,1975-1991,0
Scarce Silver Y,NN63,2012-2016,0
Red Sword-grass,NN63,2012-2016,0
Gold Spangle,NN64,2012-2016,0
Sword-grass,NN65,2012-2016,0
Red Sword-grass,NN65,2012-2016,0
Great Brocade,NN66,2012-2016,0
Red Sword-grass,NN68,2012-2016,0
Gold Spangle,NN69,2012-2016,0
Scarce Silver Y,NN69,2012-2016,0
Great Brocade,NN69,1975-1991,0
Great Brocade,NN69,2012-2016,0
Gold Spangle,NN70,1975-1991,0
Gold Spangle,NN70,2012-2016,0
Gold Spangle,NN71,2012-2016,0
Gold Spangle,NN72,2012-2016,0
Angle-striped Sallow,NN72,2012-2016,0
Gold Spangle,NN74,1975-1991,0
Gold Spangle,NN74,2012-2016,0
Great Brocade,NN74,1975-1991,0
Gold Spangle,NN75,1975-1991,0
Golden-rod Brindle,NN75,1975-1991,0
Golden-rod Brindle,NN75,2012-2016,0
Red Sword-grass,NN75,1975-1991,0
Red Sword-grass,NN75,2012-2016,0
Great Brocade,NN75,1975-1991,0
Gold Spangle,NN76,1975-1991,0
Gold Spangle,NN76,2012-2016,0
Scarce Silver Y,NN76,1975-1991,0
Scarce Silver Y,NN76,2012-2016,0
Golden-rod Brindle,NN76,1975-1991,0
Red Sword-grass,NN76,1975-1991,0
Great Brocade,NN76,1975-1991,0
Gold Spangle,NN79,1975-1991,0
Gold Spangle,NN79,2012-2016,0
Scarce Silver Y,NN79,2012-2016,0
Golden-rod Brindle,NN79,2012-2016,0
Sword-grass,NN79,2012-2016,0
Red Sword-grass,NN79,2012-2016,0
Angle-striped Sallow,NN79,2012-2016,0
Great Brocade,NN79,2012-2016,0
Gold Spangle,NN80,2012-2016,0
Golden-rod Brindle,NN80,2012-2016,0
Red Sword-grass,NN80,2012-2016,0
Gold Spangle,NN81,2012-2016,0
Gold Spangle,NN82,2012-2016,0
Gold Spangle,NN85,2012-2016,0
Red Sword-grass,NN85,2012-2016,0
Gold Spangle,NN86,2012-2016,0
Scarce Silver Y,NN86,1975-1991,0
Red Sword-grass,NN86,2012-2016,0
Angle-striped Sallow,NN86,2012-2016,0
Gold Spangle,NN88,2012-2016,0
Scarce Silver Y,NN88,2012-2016,0
Scarce Silver Y,NN89,1975-1991,0
Golden-rod Brindle,NN89,2012-2016,0
Red Sword-grass,NN89,2012-2016,0
Gold Spangle,NN90,2012-2016,0
Gold Spangle,NN93,2012-2016,0
Red Sword-grass,NN93,2012-2016,0
Gold Spangle,NN96,1975-1991,0
Gold Spangle,NN96,2012-2016,0
Scarce Silver Y,NN96,1975-1991,0
Scarce Silver Y,NN96,2012-2016,0
Golden-rod Brindle,NN96,1975-1991,0
Golden-rod Brindle,NN96,2012-2016,0
Sword-grass,NN96,1975-1991,0
Sword-grass,NN96,2012-2016,0
Red Sword-grass,NN96,1975-1991,0
Red Sword-grass,NN96,2012-2016,0
Angle-striped Sallow,NN96,1975-1991,0
Angle-striped Sallow,NN96,2012-2016,0
Great Brocade,NN96,1975-1991,0
Great Brocade,NN96,2012-2016,0
Scarce Silver Y,NN98,2012-2016,0
Golden-rod Brindle,NO00,1975-1991,0
Gold Spangle,NO03,2012-2016,0
Gold Spangle,NO04,1975-1991,0
Scarce Silver Y,NO04,1975-1991,0
Golden-rod Brindle,NO04,1975-1991,0
Sword-grass,NO04,1975-1991,0
Red Sword-grass,NO04,1975-1991,0
Angle-striped Sallow,NO04,1975-1991,0
Gold Spangle,NO06,1975-1991,0
Gold Spangle,NO06,2012-2016,0
Scarce Silver Y,NO06,1975-1991,0
Golden-rod Brindle,NO06,1975-1991,0
Golden-rod Brindle,NO06,2012-2016,0
Sword-grass,NO06,1975-1991,0
Red Sword-grass,NO06,1975-1991,0
Red Sword-grass,NO06,2012-2016,0
Angle-striped Sallow,NO06,2012-2016,0
Gold Spangle,NO08,2012-2016,0
Scarce Silver Y,NO08,2012-2016,0
Golden-rod Brindle,NO08,2012-2016,0
Sword-grass,NO08,2012-2016,0
Red Sword-grass,NO08,2012-2016,0
Scarce Silver Y,NO09,1975-1991,0
Scarce Silver Y,NO09,2012-2016,0
Red Sword-grass,NO09,2012-2016,0
Gold Spangle,NO10,2012-2016,0
Red Sword-grass,NO10,2012-2016,0
Red Sword-grass,NO12,2012-2016,0
Gold Spangle,NO15,1975-1991,0
Scarce Silver Y,NO19,2012-2016,0
Sword-grass,NO19,2012-2016,0
Red Sword-grass,NO19,2012-2016,0
Gold Spangle,NO20,2012-2016,0
Gold Spangle,NO21,2012-2016,0
Red Sword-grass,NO21,2012-2016,0
Gold Spangle,NO23,1975-1991,0
Gold Spangle,NO24,2012-2016,0
Gold Spangle,NO25,2012-2016,0
Scarce Silver Y,NO27,2012-2016,0
Red Sword-grass,NO27,2012-2016,0
Gold Spangle,NO29,1975-1991,0
Gold Spangle,NO29,2012-2016,0
Scarce Silver Y,NO29,1975-1991,0
