Common_name,Hectad,Time_period,Exclude
Angle-striped Sallow,SO86,2012-2016,0
Angle-striped Sallow,SO87,2012-2016,0
Angle-striped Sallow,SO88,1975-1991,0
Angle-striped Sallow,SO88,2012-2016,0
Red Sword-grass,SO89,1975-1991,0
Angle-striped Sallow,SO89,1975-1991,0
Angle-striped Sallow,SO89,2012-2016,0
Angle-striped Sallow,SO96,2012-2016,0
Gold Spangle,SO97,1975-1991,0
Angle-striped Sallow,SO97,1975-1991,0
Angle-striped Sallow,SO97,2012-2016,0
Great Brocade,SO97,1975-1991,1
Angle-striped Sallow,SO98,2012-2016,0
Gold Spangle,SO99,1975-1991,0
Angle-striped Sallow,SP05,1975-1991,0
Angle-striped Sallow,SP06,2012-2016,0
Angle-striped Sallow,SP08,1975-1991,0
Angle-striped Sallow,SP15,1975-1991,0
Great Brocade,SP18,2012-2016,1
Red Sword-grass,SP19,2012-2016,0
Angle-striped Sallow,SP19,2012-2016,0
Gold Spangle,SP25,1975-1991,0
Red Sword-grass,SP25,1975-1991,0
Great Brocade,SP25,1975-1991,1
Gold Spangle,SP26,1975-1991,0
Gold Spangle,SP27,1975-1991,0
Angle-striped Sallow,SP29,2012-2016,0
Great Brocade,SP31,1975-1991,1
Red Sword-grass,SP37,2012-2016,0
Great Brocade,SP38,1975-1991,1
Golden-rod Brindle,SP40,1975-1991,1
Gold Spangle,SP48,1975-1991,0
Gold Spangle,SP49,1975-1991,0
Angle-striped Sallow,SP49,2012-2016,0
Gold Spangle,SP57,1975-1991,0
Golden-rod Brindle,SP57,1975-1991,1
Gold Spangle,SP59,1975-1991,0
Gold Spangle,SP61,1975-1991,1
Red Sword-grass,SP74,2012-2016,1
Gold Spangle,SP76,1975-1991,0
Red Sword-grass,SP77,1975-1991,1
Gold Spangle,SP86,1975-1991,0
Red Sword-grass,SP86,1975-1991,1
Great Brocade,SP86,2012-2016,1
Great Brocade,SP87,1975-1991,1
Great Brocade,SP95,1975-1991,1
Gold Spangle,SP96,1975-1991,0
Gold Spangle,SR99,1975-1991,0
Red Sword-grass,SS40,1975-1991,0
Red Sword-grass,SS50,1975-1991,0
Red Sword-grass,SS52,2012-2016,0
