"Hectad","n_recs"
"SN78",159
"SN79",7405
"SN80",4681
"SN81",204
"SN82",72
"SN83",3293
"SN84",592
"SN85",342
"SN86",149
"SN87",125
"SN88",253
"SN89",4373
"SN90",568
"SN91",1923
"SN92",4712
"SN93",6
"SN94",687
"SN95",14259
"SN96",10474
"SN97",826
"SN98",3861
"SN99",219
"SO00",5610
"SO01",340
"SO02",2994
"SO03",4376
"SO04",959
"SO05",39111
"SO06",1659
"SO07",527
"SO08",2165
"SO09",4999
"SO10",2016
"SO11",4171
"SO12",19007
"SO13",8789
"SO14",12096
"SO15",1952
"SO16",3968
"SO17",1213
"SO18",240
"SO19",6154
"SO20",1318
"SO21",6517
"SO22",427
"SO23",810
"SO24",312
"SO25",1369
"SO26",1280
"SO27",1340
"SO28",95
"SO29",1614
"SO30",715
"SO31",916
"SO32",6332
"SO33",2079
"SO34",34505
"SO35",161
"SO36",391
"SO37",676
"SO38",405
"SO39",5839
"SO40",2987
"SO41",2208
"SO42",1228
"SO43",282
"SO44",2608
"SO45",168
"SO46",369
"SO47",596
"SO48",680
"SO49",11696
"SO50",15242
"SO51",13951
"SO52",5655
"SO53",9286
"SO54",37967
"SO55",14147
"SO56",147
"SO57",2478
"SO58",169
"SO59",1281
"SO60",3889
"SO61",8426
"SO62",6029
"SO63",4092
"SO64",497
"SO65",6826
"SO66",18637
"SO67",2233
"SO68",93
"SO69",710
"SO70",5418
"SO71",7648
"SO72",9912
"SO73",10003
"SO74",19590
"SO75",21852
"SO76",1278
"SO77",6461
"SO78",1371
"SO79",1942
"SO80",33728
"SO81",18050
"SO82",2768
"SO83",430
"SO84",1658
"SO85",14457
"SO86",8835
"SO87",8189
"SO88",4955
"SO89",5931
"SO90",7024
"SO91",11617
"SO92",42579
"SO93",1189
"SO94",3701
"SO95",2351
"SO96",1159
"SO97",18982
"SO98",7702
"SO99",10431
"SP00",10378
"SP01",998
"SP02",1452
"SP03",13409
"SP04",508
"SP05",9795
"SP06",9176
"SP07",630
"SP08",5221
"SP09",5803
"SP10",526
"SP11",686
"SP12",1352
"SP13",922
"SP14",471
"SP15",22157
"SP16",3901
"SP17",7869
"SP18",25659
"SP19",4888
"SP20",1010
"SP21",1205
"SP22",845
"SP23",1480
"SP24",275
"SP25",6040
"SP26",16714
"SP27",20184
"SP28",6877
"SP29",5001
"SP30",4480
"SP31",3444
"SP32",252
"SP33",2591
"SP34",2439
"SP35",6681
"SP36",2991
"SP37",12955
"SP38",7785
"SP39",11268
"SP40",20871
"SP41",4562
"SP42",55
"SP43",1705
"SP44",411
"SP45",2464
"SP46",2213
"SP47",709
"SP48",3737
"SP49",28607
"SP50",20636
"SP51",15555
"SP52",306
"SP53",18
"SP54",2263
"SP55",1634
"SP56",637
"SP57",26082
"SP58",766
"SP59",22523
"SP60",1121
"SP61",13076
"SP62",7551
"SP63",977
"SP64",2833
"SP65",350
"SP66",3121
"SP67",394
"SP68",782
"SP69",7707
"SP70",2153
"SP71",24461
"SP72",2933
"SP73",1441
"SP74",9708
"SP75",3784
"SP76",11364
"SP77",32966
"SP78",3799
"SP79",381
"SP80",14012
"SP81",13068
"SP82",504
"SP83",16780
"SP84",30397
"SP85",8369
"SP86",6769
"SP87",472
"SP88",5401
"SP89",5722
"SP90",9976
"SP91",21532
"SP92",21209
"SP93",4874
"SP94",2727
"SP95",22382
"SP96",4583
"SP97",8832
"SP98",2944
"SP99",828
"SR89",337
"SR99",12948
"SS09",615
"SS10",3
"SS11",1
"SS14",635
"SS19",39
"SS20",798
"SS21",1712
"SS22",354
"SS30",252
"SS31",23
"SS32",154
"SS38",3
"SS39",19
"SS40",462
"SS41",158
"SS42",10670
"SS43",5008
"SS44",969
"SS48",1625
"SS49",4524
"SS50",2569
"SS51",3949
"SS52",6913
"SS53",346
"SS54",411
"SS58",3367
"SS59",16585
"SS60",27
"SS61",333
"SS62",6745
"SS63",6191
"SS64",441
"SS68",2245
"SS69",2133
"SS70",1086
"SS71",346
"SS72",96
"SS73",137
"SS74",634
"SS75",184
"SS77",11
"SS78",593
"SS79",995
"SS80",798
"SS81",429
"SS82",95
"SS83",254
"SS84",3025
"SS87",3347
"SS88",7157
"SS89",2334
"SS90",2124
"SS91",4380
"SS92",515
"SS93",270
"SS94",7188
"SS96",328
"SS97",3992
"SS98",287
"SS99",257
"ST00",8482
"ST01",481
"ST02",10503
"ST03",5545
"ST04",47
"ST06",4715
"ST07",2624
"ST08",3093
"ST09",503
"ST10",1196
"ST11",3393
"ST12",3812
"ST13",11254
"ST14",5019
"ST16",854
"ST17",26033
"ST18",11088
"ST19",5552
"ST20",264
"ST21",1550
"ST22",16880
"ST23",634
"ST24",266
"ST25",17494
"ST26",100
"ST27",1289
"ST28",14783
"ST29",8607
"ST30",1101
"ST31",6097
"ST32",1678
"ST33",1437
"ST34",143
"ST35",3210
"ST36",9151
"ST37",18811
"ST38",5487
"ST39",5077
"ST40",12941
"ST41",14022
"ST42",12445
"ST43",1174
"ST44",3336
"ST45",4032
"ST46",2077
"ST47",5055
"ST48",5068
"ST49",2329
"ST50",87
"ST51",8185
"ST52",274
"ST53",12269
"ST54",1623
"ST55",1856
"ST56",3169
"ST57",7726
"ST58",6192
"ST59",8177
"ST60",10244
"ST61",6481
"ST62",619
"ST63",29
"ST64",1727
"ST65",1128
"ST66",13363
"ST67",5198
"ST68",1309
"ST69",446
"ST70",2423
"ST71",1506
"ST72",2415
"ST73",2527
"ST74",3429
"ST75",1084
"ST76",13376
"ST77",120
"ST78",2735
"ST79",6630
"ST80",14012
"ST81",567
"ST82",355
"ST83",1770
"ST84",8693
"ST85",18710
"ST86",9804
"ST87",7531
"ST88",162
"ST89",1681
"ST90",1272
"ST91",6430
"ST92",475
"ST93",317
"ST94",3917
"ST95",3475
"ST96",987
"ST97",6458
"ST98",46
"ST99",143
"SU00",11364
"SU01",2202
"SU02",704
"SU03",7373
"SU04",1769
"SU05",707
"SU06",470
"SU07",115
"SU08",5777
"SU09",5640
"SU10",17789
"SU11",7262
"SU12",897
"SU13",2215
"SU14",1188
"SU15",156
"SU16",1048
"SU17",14664
"SU18",47701
"SU19",1687
"SU20",52927
"SU21",12121
"SU22",55295
"SU23",16174
"SU24",4385
"SU25",206
"SU26",1273
"SU27",302
"SU28",422
"SU29",37683
"SU30",15204
"SU31",31407
"SU32",17922
"SU33",25840
"SU34",9117
"SU35",1683
"SU36",451
"SU37",279
"SU38",7236
"SU39",10859
"SU40",14468
"SU41",24907
"SU42",15413
"SU43",7196
"SU44",7548
"SU45",2183
"SU46",5537
"SU47",5163
"SU48",748
"SU49",7693
"SU50",46746
"SU51",21361
"SU52",3063
"SU53",3160
"SU54",6967
"SU55",1522
"SU56",14298
"SU57",465
"SU58",3209
"SU59",15521
"SU60",30493
"SU61",16250
"SU62",2813
"SU63",1997
"SU64",1293
"SU65",17554
"SU66",20277
"SU67",13760
"SU68",9840
"SU69",1123
"SU70",8242
"SU71",1891
"SU72",1229
"SU73",9644
"SU74",2278
"SU75",5971
"SU76",1961
"SU77",23769
"SU78",3538
"SU79",11247
"SU80",775
"SU81",495
"SU82",1833
"SU83",6658
"SU84",9445
"SU85",11098
"SU86",5421
"SU87",4283
"SU88",77182
"SU89",6622
"SU90",7909
"SU91",1805
"SU92",977
"SU93",5611
"SU94",2132
"SU95",1870
"SU96",3316
"SU97",2060
"SU98",23727
"SU99",13709
"SV80",5346
"SV81",229
"SV90",16
"SV91",33562
"SW32",8288
"SW33",2062
"SW42",1067
"SW43",12625
"SW44",69
"SW52",102
"SW53",3271
"SW54",626
"SW61",2389
"SW62",22846
"SW63",3082
"SW64",13305
"SW65",7
"SW71",10594
"SW72",29369
"SW73",5587
"SW74",1286
"SW75",3942
"SW76",1224
"SW81",139
"SW82",240
"SW83",738
"SW84",1549
"SW85",2119
"SW86",738
"SW87",285
"SW93",34
"SW94",190
"SW95",312
"SW96",1672
"SW97",4107
"SW98",56
"SX03",29
"SX04",2083
"SX05",13855
"SX06",4532
"SX07",3035
"SX08",2108
"SX09",373
"SX15",2897
"SX16",4365
"SX17",479
"SX18",720
"SX19",1457
"SX25",14063
"SX26",6746
"SX27",3242
"SX28",670
"SX29",717
"SX35",23907
"SX36",1649
"SX37",16278
"SX38",528
"SX39",488
"SX44",1189
"SX45",19132
"SX46",22111
"SX47",26788
"SX48",299
"SX49",40
"SX54",3507
"SX55",3101
"SX56",4897
"SX57",1200
"SX58",176
"SX59",275
"SX63",4255
"SX64",1215
"SX65",8277
"SX66",1084
"SX67",411
"SX68",574
"SX69",16500
"SX73",3720
"SX74",3875
"SX75",5160
"SX76",3666
"SX77",84883
"SX78",2942
"SX79",10715
"SX83",106
"SX84",8747
"SX85",1755
"SX86",19542
"SX87",11199
"SX88",12470
"SX89",9731
"SX94",311
"SX95",831
"SX96",847
"SX97",10803
"SX98",21659
"SX99",10805
"SY07",10
"SY08",9405
"SY09",5412
"SY18",885
"SY19",1224
"SY28",662
"SY29",10796
"SY39",17005
"SY48",92
"SY49",7009
"SY58",4451
"SY59",921
"SY66",3807
"SY67",25346
"SY68",29743
"SY69",1710
"SY77",201
"SY78",14724
"SY79",10731
"SY87",97
"SY88",15331
"SY89",12671
"SY97",1424
"SY98",64449
"SY99",7079
"SZ07",12294
"SZ08",6434
"SZ09",40541
"SZ19",34465
"SZ28",292
"SZ29",15913
"SZ38",21634
"SZ39",12759
"SZ40",6
"SZ47",1548
"SZ48",2215
"SZ49",7477
"SZ57",24352
"SZ58",15635
"SZ59",4535
"SZ68",1375
"SZ69",21065
"SZ79",11263
"SZ89",26187
"SZ99",103
"TA00",27
"TA02",30524
"TA03",17239
"TA04",3228
"TA05",337
"TA06",28587
"TA07",19685
"TA08",11823
"TA09",282
"TA10",75
"TA11",13
"TA12",44
"TA13",228
"TA14",9152
"TA15",8395
"TA16",19483
"TA17",10095
"TA18",258
"TA20",54
"TA21",127
"TA22",206
"TA23",126
"TA24",116
"TA25",2
"TA26",3243
"TA27",13288
"TA30",37
"TA31",16611
"TA32",5782
"TA33",11
"TA41",120437
"TA42",9
"TF00",7331
"TF01",476
"TF02",18
"TF03",15
"TF04",12
"TF05",1
"TF06",23
"TF07",13373
"TF08",40
"TF09",251
"TF10",9412
"TF11",7
"TF12",4
"TF13",1
"TF17",389
"TF18",6919
"TF19",156
"TF20",5535
"TF24",3
"TF26",1
"TF28",48
"TF29",25
"TF34",17
"TF36",6671
"TF37",35
"TF38",64
"TF39",103
"TF40",22
"TF41",218
"TF46",1
"TF47",5276
"TF48",2
"TF49",4807
"TF50",4707
"TF51",11737
"TF52",1164
"TF55",10096
"TF56",11946
"TF57",6
"TF60",8600
"TF61",416
"TF62",15869
"TF63",50887
"TF64",11944
"TF70",1902
"TF71",1078
"TF72",1404
"TF73",1656
"TF74",32452
"TF80",5362
"TF81",314
"TF82",234
"TF83",1999
"TF84",9444
"TF90",750
"TF91",16007
"TF92",22620
"TF93",1970
"TF94",8802
"TG00",5120
"TG01",7456
"TG02",18238
"TG03",7740
"TG04",15686
"TG10",19186
"TG11",31869
"TG12",2227
"TG13",10442
"TG14",27540
"TG20",28627
"TG21",2850
"TG22",1484
"TG23",11972
"TG24",17396
"TG30",11336
"TG31",7263
"TG32",16293
"TG33",11274
"TG40",4658
"TG41",15342
"TG42",17926
"TG44",1
"TG49",1
"TG50",10626
"TG51",6994
"TG57",1
"TL00",14827
"TL01",14606
"TL02",22273
"TL03",12010
"TL04",5569
"TL05",22455
"TL06",3571
"TL07",44459
"TL08",12078
"TL09",7248
"TL10",12917
"TL11",149845
"TL12",3826
"TL13",15638
"TL14",63548
"TL15",6900
"TL16",14865
"TL17",9197
"TL18",13665
"TL19",13922
"TL20",5501
"TL21",1187
"TL22",8199
"TL23",6354
"TL24",45964
"TL25",23195
"TL26",8199
"TL27",67538
"TL28",35027
"TL29",1431
"TL30",4549
"TL31",30061
"TL32",160
"TL33",881
"TL34",8008
"TL35",518
"TL36",3616
"TL37",36178
"TL38",6460
"TL39",89
"TL40",394
"TL41",4571
"TL42",32947
"TL43",1199
"TL44",623
"TL45",7780
"TL46",13587
"TL47",2258
"TL48",1819
"TL49",1
"TL50",28010
"TL51",1600
"TL52",13749
"TL53",1677
"TL54",1793
"TL55",3959
"TL56",2062
"TL57",13756
"TL58",960
"TL59",1401
"TL60",15480
"TL61",5375
"TL62",313
"TL63",274
"TL64",23
"TL65",30
"TL66",2648
"TL67",166
"TL68",382
"TL69",8793
"TL70",3279
"TL71",3292
"TL72",700
"TL73",10528
"TL74",37
"TL75",163
"TL76",709
"TL77",3717
"TL78",12030
"TL79",23987
"TL80",4566
"TL81",10430
"TL82",295
"TL83",3585
"TL84",2513
"TL85",204
"TL86",3019
"TL87",2510
"TL88",3799
"TL89",2646
"TL90",262
"TL91",2857
"TL92",2869
"TL93",172
"TL94",7176
"TL95",1187
"TL96",10348
"TL97",1106
"TL98",4940
"TL99",7581
"TM00",105
"TM01",5847
"TM02",12803
"TM03",2765
"TM04",1506
"TM05",560
"TM06",6979
"TM07",6456
"TM08",827
"TM09",10945
"TM11",2762
"TM12",3425
"TM13",17812
"TM14",19786
"TM15",1232
"TM16",136
"TM17",802
"TM18",3894
"TM19",1191
"TM21",716
"TM22",8456
"TM23",52758
"TM24",31579
"TM25",1865
"TM26",78
"TM27",35
"TM28",996
"TM29",8921
"TM33",5769
"TM34",35373
"TM35",2593
"TM36",755
"TM37",908
"TM38",3853
"TM39",1323
"TM44",11219
"TM45",4748
"TM46",22230
"TM47",11765
"TM48",788
"TM49",15876
"TM57",13525
"TM58",3771
"TM59",1450
"TQ00",4925
"TQ01",15754
"TQ02",3401
"TQ03",1754
"TQ04",3632
"TQ05",4690
"TQ06",5044
"TQ07",1857
"TQ08",5437
"TQ09",43862
"TQ10",17013
"TQ11",7112
"TQ12",1563
"TQ13",5084
"TQ14",2774
"TQ15",7632
"TQ16",995
"TQ17",3972
"TQ18",9789
"TQ19",1375
"TQ20",1722
"TQ21",5347
"TQ22",894
"TQ23",1732
"TQ24",1177
"TQ25",4350
"TQ26",8428
"TQ27",2409
"TQ28",2587
"TQ29",13063
"TQ30",11351
"TQ31",1453
"TQ32",6637
"TQ33",3314
"TQ34",1172
"TQ35",5327
"TQ36",12968
"TQ37",154
"TQ38",783
"TQ39",3639
"TQ40",10605
"TQ41",6390
"TQ42",2740
"TQ43",8830
"TQ44",821
"TQ45",404
"TQ46",1840
"TQ47",169
"TQ48",10293
"TQ49",36850
"TQ50",3836
"TQ51",464
"TQ52",1839
"TQ53",1976
"TQ54",80
"TQ55",4636
"TQ56",6850
"TQ57",5459
"TQ58",8363
"TQ59",2895
"TQ60",6069
"TQ61",519
"TQ62",61
"TQ63",345
"TQ64",82
"TQ65",1816
"TQ66",1662
"TQ67",4504
"TQ68",1890
"TQ69",7367
"TQ70",15164
"TQ71",16247
"TQ72",17453
"TQ73",194
"TQ74",372
"TQ75",2189
"TQ76",1672
"TQ77",2441
"TQ78",4617
"TQ79",13945
"TQ80",125
"TQ81",31070
"TQ82",7351
"TQ83",911
"TQ84",470
"TQ85",376
"TQ86",5634
"TQ87",28
"TQ88",9627
"TQ89",3302
"TQ91",3216
"TQ92",2469
"TQ93",7830
"TQ94",562
"TQ95",237
"TQ96",785
"TQ97",2644
"TQ98",95
"TQ99",289
"TR01",11802
"TR02",2250
"TR03",13846
"TR04",8186
"TR05",5407
"TR06",948
"TR07",37
"TR09",1004
"TR12",2
"TR13",12703
"TR14",4095
"TR15",1321
"TR16",1737
"TR23",1229
"TR24",350
"TR25",20923
"TR26",794
"TR34",1390
"TR35",55636
"TR36",22061
"TR37",10654
"TR46",6
"TV49",301
"TV59",3833
"TV69",313
