"Hectad","n_recs"
"NH21",77
"NH22",264
"NH23",138
"NH24",2
"NH25",75
"NH26",120
"NH27",6
"NH28",2
"NH29",2
"NH30",20221
"NH31",431
"NH32",100
"NH33",818
"NH34",125
"NH35",385
"NH36",580
"NH37",21
"NH38",3
"NH39",2
"NH40",56
"NH41",744
"NH42",311
"NH43",1831
"NH44",1664
"NH45",2353
"NH46",1346
"NH47",7
"NH48",31
"NH49",161
"NH50",110
"NH51",400
"NH52",753
"NH53",4651
"NH54",994
"NH55",4607
"NH56",624
"NH57",109
"NH58",21
"NH59",367
"NH60",128
"NH61",91
"NH62",225
"NH63",5369
"NH64",2403
"NH65",1470
"NH66",644
"NH67",2022
"NH68",215
"NH69",77
"NH70",5431
"NH71",236
"NH72",14
"NH73",32
"NH74",745
"NH75",210
"NH76",16490
"NH77",3983
"NH78",156
"NH79",1491
"NH80",5281
"NH81",5479
"NH82",556
"NH83",140
"NH84",96
"NH85",88
"NH86",99
"NH87",454
"NH88",263
"NH89",3457
"NH90",1162
"NH91",10244
"NH92",1193
"NH93",122
"NH94",415
"NH95",143
"NH96",710
"NH98",74
"NJ00",54
"NJ01",392
"NJ02",4888
"NJ03",464
"NJ04",383
"NJ05",1173
"NJ06",1475
"NJ10",46
"NJ11",124
"NJ12",187
"NJ13",117
"NJ14",253
"NJ15",58
"NJ16",14414
"NJ17",106
"NJ20",36
"NJ21",97
"NJ23",132
"NJ24",66
"NJ25",92
"NJ26",336
"NJ27",85
"NJ30",57
"NJ31",52
"NJ32",92
"NJ33",166
"NJ34",40
"NJ35",257
"NJ36",296
"NJ40",437
"NJ41",71
"NJ42",60
"NJ43",11
"NJ44",18
"NJ45",1077
"NJ46",2909
"NJ50",326
"NJ51",1741
"NJ52",11
"NJ53",64
"NJ54",37
"NJ55",10228
"NJ56",75
"NJ60",95
"NJ61",640
"NJ62",184
"NJ63",82
"NJ64",15
"NJ65",547
"NJ66",346
"NJ70",2125
"NJ71",404
"NJ72",125
"NJ73",174
"NJ74",14
"NJ75",6
"NJ76",367
"NJ80",468
"NJ81",4002
"NJ82",4230
"NJ83",693
"NJ84",1040
"NJ85",21
"NJ86",92
"NJ90",3155
"NJ91",1815
"NJ92",155
"NJ93",26
"NJ94",72
"NJ95",70
"NJ96",5
"NK02",304
"NK03",159
"NK04",21
"NK05",716
"NK06",364
"NK13",242
"NK14",13
"NK15",48
"NL58",47
"NL69",5
"NL93",100
"NL94",2077
"NM04",620
"NM05",5
"NM15",1197
"NM21",4
"NM22",136
"NM23",2
"NM24",70
"NM25",260
"NM26",318
"NM29",1
"NM31",294
"NM32",435
"NM33",10
"NM34",611
"NM35",813
"NM37",35
"NM38",25
"NM39",229
"NM40",14
"NM41",270
"NM42",962
"NM43",186
"NM44",518
"NM45",1749
"NM46",158
"NM47",232
"NM48",298
"NM49",1335
"NM51",7
"NM52",296
"NM53",422
"NM54",6248
"NM55",1320
"NM56",1248
"NM57",182
"NM59",1
"NM61",14
"NM62",377
"NM63",251
"NM64",567
"NM65",366
"NM66",1159
"NM67",119
"NM68",197
"NM69",995
"NM70",478
"NM71",391
"NM72",71
"NM73",8072
"NM74",99
"NM75",46
"NM76",414
"NM77",68
"NM78",19
"NM79",12
"NM80",367
"NM81",424
"NM82",942
"NM83",835
"NM84",748
"NM85",46
"NM86",1005
"NM87",7
"NM88",24
"NM89",4
"NM90",512
"NM91",714
"NM92",760
"NM93",1090
"NM94",29730
"NM95",355
"NM96",45
"NM97",11
"NM98",295
"NM99",43
"NN00",83
"NN01",582
"NN02",577
"NN03",1340
"NN04",916
"NN05",68
"NN06",280
"NN07",704
"NN08",159
"NN09",65
"NN10",131
"NN11",256
"NN12",363
"NN13",384
"NN14",65
"NN15",8423
"NN16",541
"NN17",828
"NN18",1972
"NN19",124
"NN20",10
"NN21",5
"NN22",427
"NN23",459
"NN24",46
"NN25",227
"NN26",8
"NN27",49
"NN28",791
"NN29",31
"NN30",1071
"NN31",252
"NN32",176
"NN33",107
"NN34",35
"NN35",16
"NN36",127
"NN37",241
"NN38",26
"NN39",67
"NN40",2704
"NN41",90
"NN42",11
"NN43",1
"NN44",7
"NN45",449
"NN46",10
"NN47",45
"NN48",455
"NN49",100
"NN50",463
"NN51",204
"NN52",792
"NN53",1171
"NN54",79
"NN55",14277
"NN56",24
"NN57",40
"NN58",2
"NN59",95
"NN60",321
"NN63",663
"NN64",494
"NN65",529
"NN66",51
"NN67",11
"NN68",94
"NN69",364
"NN70",2058
"NN71",385
"NN72",547
"NN73",1
"NN74",274
"NN75",354
"NN76",390
"NN77",4
"NN78",53
"NN79",2865
"NN80",414
"NN81",151
"NN82",803
"NN83",58
"NN84",66
"NN85",403
"NN86",399
"NN88",47
"NN89",460
"NN90",357
"NN91",1
"NN92",6
"NN93",741
"NN94",51
"NN95",150
"NN96",6359
"NN97",56
"NN98",19
"NN99",33
"NO00",49
"NO01",2
"NO02",112
"NO03",79
"NO04",455
"NO05",2
"NO06",1791
"NO08",3343
"NO09",127
"NO10",972
"NO11",221
"NO12",870
"NO13",24
"NO14",40
"NO15",134
"NO16",90
"NO17",22
"NO18",53
"NO19",409
"NO20",418
"NO21",387
"NO22",64
"NO23",1177
"NO24",369
"NO25",51
"NO26",1
"NO27",653
"NO28",34
"NO29",1259
"NO30",133
"NO31",319
"NO32",1877
"NO33",391
"NO34",12
"NO35",1424
"NO36",537
"NO37",136
"NO38",176
"NO39",305
"NO40",6636
"NO41",4394
"NO42",1843
"NO43",187
"NO44",66
"NO45",9
"NO47",192
"NO48",295
"NO49",4468
"NO50",3803
"NO51",963
"NO52",773
"NO53",261
"NO54",895
"NO55",432
"NO56",85
"NO57",232
"NO58",16
"NO59",1227
"NO60",144
"NO61",109
"NO63",74
"NO64",348
"NO65",374
"NO66",240
"NO67",1
"NO68",105
"NO69",8195
"NO75",2221
"NO76",2820
"NO77",32
"NO78",140
"NO79",298
"NO86",123
"NO87",64
"NO88",158
"NO89",431
"NO99",225
"NR15",4
"NR24",1168
"NR25",37
"NR26",4173
"NR27",13
"NR34",15
"NR35",138
"NR36",460
"NR37",23
"NR38",848
"NR39",1768
"NR44",37
