"HECTAD","TIME.PERIOD","EASTING","NORTHING","HECTAD.SR","REGION.SR","PERCENT.RECORDED","RECORDING.LEVEL","lon","lat"
"HP50","2012-2016",450000,1200000,13,362,3.59116022099448,"Recorded",-1.08657941800931,60.680101686672
"HP50","1975-1991",450000,1200000,4,358,1.11731843575419,"Recorded",-1.08657941800931,60.680101686672
"HP60","2012-2016",460000,1200000,43,361,11.9113573407202,"Well recorded",-0.903563498362184,60.6787291338937
"HP60","1975-1991",460000,1200000,24,353,6.79886685552408,"Recorded",-0.903563498362184,60.6787291338937
"HP61","2012-2016",460000,1210000,17,362,4.69613259668508,"Recorded",-0.900500514823207,60.768492797712
"HP61","1975-1991",460000,1210000,5,359,1.39275766016713,"Recorded",-0.900500514823207,60.768492797712
"HU32","2012-2016",430000,1120000,1,361,0.277008310249307,"Recorded",-1.46454232866378,59.963844158693
"HU32","1975-1991",430000,1120000,1,353,0.28328611898017,"Recorded",-1.46454232866378,59.963844158693
"HU34","2012-2016",430000,1140000,7,360,1.94444444444444,"Recorded",-1.46162760807852,60.14341476242
"HU34","1975-1991",430000,1140000,6,356,1.68539325842697,"Recorded",-1.46162760807852,60.14341476242
"HU35","2012-2016",430000,1150000,39,360,10.8333333333333,"Well recorded",-1.46015631837155,60.233198193432
"HU35","1975-1991",430000,1150000,1,356,0.280898876404494,"Recorded",-1.46015631837155,60.233198193432
"HU42","2012-2016",440000,1120000,30,361,8.31024930747922,"Recorded",-1.28547270848334,59.9629966027452
"HU42","1975-1991",440000,1120000,3,352,0.852272727272727,"Recorded",-1.28547270848334,59.9629966027452
"HU44","2012-2016",440000,1140000,52,361,14.404432132964,"Well recorded",-1.28158294793519,60.1425610738679
"HU44","1975-1991",440000,1140000,6,353,1.69971671388102,"Recorded",-1.28158294793519,60.1425610738679
"HU46","2012-2016",440000,1160000,1,360,0.277777777777778,"Recorded",-1.27764347096157,60.3221204916943
"HU46","1975-1991",440000,1160000,62,356,17.4157303370787,"Well recorded",-1.27764347096157,60.3221204916943
"HU54","2012-2016",450000,1140000,22,361,6.09418282548476,"Recorded",-1.10155071635066,60.1414627241259
"HU54","1975-1991",450000,1140000,1,352,0.284090909090909,"Recorded",-1.10155071635066,60.1414627241259
"HY20","2012-2016",320000,1000000,157,372,42.2043010752688,"Heavily recorded",-3.38938110531497,58.8798846283637
"HY20","1975-1991",320000,1000000,90,363,24.7933884297521,"Well recorded",-3.38938110531497,58.8798846283637
"HY21","2012-2016",320000,1010000,33,373,8.84718498659517,"Recorded",-3.39299319497174,58.969662982596
"HY21","1975-1991",320000,1010000,3,359,0.835654596100279,"Recorded",-3.39299319497174,58.969662982596
"HY22","2012-2016",320000,1020000,49,370,13.2432432432432,"Well recorded",-3.39662754094239,59.0594399455332
"HY22","1975-1991",320000,1020000,6,363,1.65289256198347,"Recorded",-3.39662754094239,59.0594399455332
"HY30","2012-2016",330000,1000000,34,369,9.21409214092141,"Recorded",-3.21597301177044,58.8816328178146
"HY30","1975-1991",330000,1000000,110,359,30.6406685236769,"Heavily recorded",-3.21597301177044,58.8816328178146
"HY31","2012-2016",330000,1010000,100,369,27.10027100271,"Heavily recorded",-3.21913465282377,58.9714173469907
"HY31","1975-1991",330000,1010000,82,359,22.8412256267409,"Well recorded",-3.21913465282377,58.9714173469907
"HY32","2012-2016",330000,1020000,111,369,30.0813008130081,"Heavily recorded",-3.22231577696128,59.0612005170237
"HY32","1975-1991",330000,1020000,46,364,12.6373626373626,"Well recorded",-3.22231577696128,59.0612005170237
"HY41","2012-2016",340000,1010000,144,366,39.344262295082,"Heavily recorded",-3.04525662792362,58.9729382681013
"HY41","1975-1991",340000,1010000,63,363,17.3553719008264,"Well recorded",-3.04525662792362,58.9729382681013
"HY43","2012-2016",340000,1030000,22,366,6.01092896174863,"Recorded",-3.05072894805167,59.1525140416701
"HY43","1975-1991",340000,1030000,35,363,9.64187327823691,"Recorded",-3.05072894805167,59.1525140416701
"HY50","2012-2016",350000,1000000,10,363,2.75482093663912,"Recorded",-2.86910162732581,58.884431281468
"HY50","1975-1991",350000,1000000,4,351,1.13960113960114,"Recorded",-2.86910162732581,58.884431281468
"HY51","2012-2016",350000,1010000,1,364,0.274725274725275,"Recorded",-2.87136189539455,58.9742256966209
"HY51","1975-1991",350000,1010000,1,362,0.276243093922652,"Recorded",-2.87136189539455,58.9742256966209
"HY52","2012-2016",350000,1020000,1,364,0.274725274725275,"Recorded",-2.87363609454551,59.0640188041192
"HY52","1975-1991",350000,1020000,1,362,0.276243093922652,"Recorded",-2.87363609454551,59.0640188041192
